,0
749,8507071:0:1
750,8507070:0:2
751,8507094:0:1
752,8508266:0:1
753,8508005
754,8508004:0:2
755,8508005:0:4
756,8507100:0:5
757,8508001:0:3
758,8508003:0:1
759,8508081:0:2
760,8508080:0:3
761,8508266:0:2
762,8508267
763,8508268
764,8508269
765,8508004:0:1
766,8508267:0:2
767,8508265:0:2
768,8508005:0:11
769,8507070:0:3
770,8507072:0:1
771,8507074:0:1
772,8507075:0:1
773,8508005:0:5
774,8500207:0:6
775,8508089
776,8508088
777,8508087:0:3
778,8508086:0:1
779,8508085:0:1
780,8508084
781,8508083
782,8500207:0:5
783,8500207:0:3
784,8508267:0:1
785,8508271
786,8508272:0:242
787,8508005:0:4C
788,8508087:0:2
789,8508085:0:2
790,8508005:0:4AB
791,8508086:0:2
792,8500207
793,8504221:0:1
794,8504480:0:1
795,8504481:0:3
796,8504490:0:1
797,8504482:0:1
798,8504483:0:3
799,8504484:0:1
800,8504400:0:4
801,8504483:0:2
802,8504489:0:4
803,8516154:0:2
804,8504486:0:1
805,8504485
806,8504400:0:6
807,8504495:0:1
808,8504486:0:2
809,8516154:0:1
810,8504489:0:5
811,8504484:0:2
812,8504483:0:4
813,8504482:0:2
814,8504221:0:2
815,8504488:0:1
816,8504487:0:2
817,8504487:0:3
818,8504488:0:2
819,8504495:0:2
820,8500207:0:2
821,8504300:0:5
822,8504221:0:3
823,8504200:0:2
824,8501037:0:2
825,8501026:0:3
826,8501037:0:3
827,8504200:0:1
828,8504221:0:5
829,8504300:0:3
830,8500207:0:1
831,8500105:0:2
832,8500159:0:2
833,8504300:0:4
834,8500159:0:1
835,8504300:0:2
836,8504489:0:2
837,8504483:0:1
838,8504481:0:4
839,8504400:0:3
840,8504400:0:1
841,8504100
842,8504188:0:2
843,8504128:0:4
844,8504186:0:1
845,8504185:0:2
846,8504184:0:2
847,8504183:0:1
848,8504182:0:1
849,8504181:0:2
850,8504100:0:5
851,8504182:0:2
852,8504183:0:2
853,8504128:0:3
854,8504140
855,8504200:0:3
856,8504144:0:1
857,8504130:0:2
858,8504131:0:2
859,8504132:0:1
860,8504133:0:1
861,8504134:0:4
862,8504134:0:1
863,8504130:0:1
864,8504131:0:1
865,8504134:0:5
866,8504135
867,8504136
868,8504137:0:1
869,8504138:0:1
870,8504139
871,8504138:0:2
872,8504134:0:2
873,8504023:0:3
874,8504024:0:1
875,8504025:0:4
876,8504026:0:1
877,8504027:0:1
878,8504028:0:3
879,8504029:0:1
880,8504030:0:1
881,8504023:0:4
882,8504030:0:2
883,8504029:0:2
884,8504028:0:4
885,8504027:0:2
886,8504026:0:2
887,8504025:0:3
888,8504024:0:2
889,8504023:0:6
890,8504129:0:1
891,8504128:0:1
892,8504126
893,8504134:0:3
894,8504125:0:1
895,8504123:0:1
896,8504124:0:2
897,8504127:0:2
898,8504086:0:4
899,8504079
900,8504078
901,8504077
902,8504075
903,8504074
904,8504073
905,8504072
906,8504071
907,8504070
908,8504086
909,8504086:0:6
910,8504066
911,8504065
912,8504064
913,8504063
914,8504062
915,8504061
916,8504060
917,8504014:0:12
918,8504014
919,8504086:0:5
920,8504067
921,8504068
922,8504069
923,8504088
924,8504089
925,8504128:0:2
926,8503225:0:6
927,8503226
928,8503227:0:1
929,8503228:0:1
930,8503230:0:1
931,8503231:0:1
932,8503232:0:2
933,8503233:0:2
934,8503234:0:1
935,8503235:0:1
936,8503236:0:1
937,8503237:0:1
938,8503238:0:1
939,8503240:0:1
940,8503239
941,8503225:0:7
942,8503225:0:9
943,8503230:0:2
944,8503233:0:3
945,8503225:0:5
946,8503221:0:3
947,8503220:0:3
948,8503209:0:3
949,8503206:0:2
950,8503000:0:5
951,8503206:0:3
952,8503209:0:5
953,8503220:0:2
954,8503221:0:4
955,8503224:0:3
956,8503223:0:3
957,8503222:0:1
958,8503225:0:8
959,8503222:0:2
960,8503223:0:4
961,8503224:0:4
962,8503225:0:10
963,8503110:0:5
964,8503113:0:1
965,8503115:0:1
966,8503116:0:2
967,8503118:0:1
968,8503119:0:1
969,8503110:0:2
970,8503110:0:4
971,8503115:0:2
972,8509002:0:8
973,8509056
974,8509055
975,8509054
976,8509053:0:1
977,8509006
978,8509000:0:11
979,8509050:0:1
980,8509180
981,8509181:0:2
982,8509182:0:1
983,8509183:0:4
984,8509184:0:1
985,8509185:0:2
986,8509186
987,8509187
988,8509188
989,8509189:0:1
990,8509057:0:1
991,8509058
992,8509059
993,8509060:0:1
994,8509000:0:13
995,8509185:0:1
996,8509189
997,8509000
998,8509184:0:2
999,8509002:0:6
1000,8509051
1001,8509000:0:12
1002,8509183:0:3
1003,8509182:0:2
1004,8509181:0:1
1005,8509050:0:2
1006,8509000:0:4
1007,8509002:0:3
1008,8509003:0:2
1009,8509004:0:3
1010,8509411:0:4
1011,8509411:0:3
1012,8509411:0:6
1013,8509002:0:4
1014,8509000:0:5
1015,8509411:0:7
1016,8509004:0:4
1017,8509003:0:1
1018,8509002:0:2
1019,8509000:0:14
1020,8509000:0:10
1021,8509000:0:8
1022,8509411:0:2
1023,8509000:0:9
1024,8509411:0:5
1025,8509000:0:7
1026,8503000:0:4
1027,8508391:0:2
1028,8508390:0:2
1029,8508318:0:2
1030,8508319:0:3
1031,8516351:0:2
1032,8508321
1033,8505000:0:14
1034,8508392:0:2
1035,8508391:0:1
1036,8508321:0:1
1037,8516351:0:1
1038,8508319:0:2
1039,8508390:0:3
1040,8508318:0:1
1041,8505000:0:12
1042,8505000:0:13
1043,8508216:0:1
1044,8508217
1045,8508218:0:3
1046,8508219
1047,8505000:0:11
1048,8505000:0:2
1049,8508218:0:2
1050,8508213
1051,8508212:0:1
1052,8508211:0:3
1053,8508210
1054,8508208
1055,8508215:0:3C
1056,8508215:0:2C
1057,8508211:0:2
1058,8503202:0:4
1059,8502206:0:1
1060,8502204:0:4
1061,8502203:0:3
1062,8502202:0:2
1063,8502201:0:1
1064,8502200:0:3
1065,8502200:0:4
1066,8502201:0:2
1067,8502202:0:3
1068,8502204:0:5
1069,8502206:0:3
1070,8503202:0:5
1071,8502010:0:2
1072,8502006:0:2
1073,8502005:0:2
1074,8502004:0:3
1075,8502003:0:2
1076,8502002:0:2
1077,8502000:0:2
1078,8502007:0:2AB
1079,8502002:0:3
1080,8502003:0:1
1081,8502004:0:2
1082,8502005:0:3
1083,8502006:0:1
1084,8502010:0:1
1085,8502007:0:2
1086,8502021:0:1
1087,8502028:0:1
1088,8502017:0:1
1089,8502022:0:2
1090,8502023:0:1
1091,8502042:0:1
1092,8502024:0:2
1093,8516353:0:1
1094,8502025:0:2
1095,8502026:0:1
1096,8502027:0:2
1097,8502019:0:1
1098,8502029:0:1
1099,8502022:0:3
1100,8502027:0:1
