stop,type,population
"Kirchberg SG, Strick",Bus,0
"Kirchberg SG, Florastrasse",Bus,0
"Kirchberg SG, Post",Bus,0
"Kirchberg SG, Neudorf",Bus,0
"Kirchberg SG, Husen",Bus,0
"Kirchberg SG, Remis",Bus,0
"Wolfikon SG, Freihof",Bus,0
"Kirchberg SG, Breiti",Bus,0
Dietschwil b. Kirchberg SG,Bus,0
"Wolfikon SG, Engel",Bus,0
Lamperswil SG,Bus,0
"Kirchberg SG, Stelz",Bus,0
"Rickenbach bei Wil, Breite",Bus,0
"Littenheid, Klinik",Bus,0
"Wiezikon b.S., Widenacker",Bus,0
"Littenheid, Sonnenmatt",Bus,0
"Wiezikon b. Sirnach, Post",Bus,0
"Busswil TG, Hauptstrasse",Bus,0
"Hub, Dorfplatz",Bus,0
"Busswil TG, Kreuzstrasse",Bus,0
"Wil SG, Zürcherstrasse",Bus,0
"Sirnach, Gloten",Bus,0
"Sirnach, Kläffler",Bus,0
"Bichwil, Torackerstrasse",Bus,0
"Bichwil, Dorf",Bus,0
"Bichwil, Riggenschwil",Bus,0
"Flawil, Botsberg Post",Bus,0
"Niederbüren, Museum",Bus,0
"Bischofszell, Waldschenke",Bus,0
"Bischofszell, Schwimmbad",Bus,0
"Bischofszell, Obertor",Bus,0
"Sitterdorf, alte Post",Bus,0
"Bischofszell, Sattelbogen",Bus,0
"Sitterdorf, Bruggfeld",Bus,0
"Sitterdorf, Bahnhof",Bus,0
"Bischofszell, Ibergstrasse",Bus,0
"Flawil, Niederberg",Bus,0
"Flawil, Scheidweg",Bus,0
"Flawil, Rütistrasse",Bus,0
"Flawil, Unterstrasse",Bus,0
"Flawil, Spital",Bus,0
"Flawil, Alterssiedlung",Bus,0
"Flawil, Maestrani",Bus,0
"Flawil, Herrensberg",Bus,0
"Flawil, Oberstrasse",Bus,0
"Flawil, Bahnhof",Bus,0
"Flawil, Lindengut",Bus,0
"Flawil, Bärenplatz",Bus,0
"Flawil, Bahnhofstrasse",Bus,0
"Flawil, Feld",Bus,0
"Flawil, Kirche",Bus,0
"Uzwil, Waldhof",Bus,0
"Uzwil, Hinterer Vogelsberg",Bus,0
"Uzwil, Gupfenstrasse",Bus,0
"Uzwil, Sonnmatt",Bus,0
"Uzwil, Friedeck",Bus,0
"Niederuzwil, Post",Bus,0
"Niederuzwil, Bienenstrasse",Bus,0
"Niederuzwil, Gaswerk",Bus,0
"Flawil, Schändrich",Bus,0
"Flawil, Alpsteinstrasse",Bus,0
"Flawil, Luegisland",Bus,0
"Flawil, Buebental",Bus,0
"Rindal, Ritzenhüsli",Bus,0
"Wolfertswil, Magdenau",Bus,0
"Rindal, Ramsau",Bus,0
"Wolfertswil, Post",Bus,0
"Degersheim, Kreuzstrasse",Bus,0
"Bazenheid, Bahnhof",Bus,0
"Bazenheid, Ifang",Bus,0
"Bazenheid, Ochsen",Bus,0
"Libingen, Post",Bus,0
"Libingen, Hinterhofen",Bus,0
"Libingen, Vorderhofen",Bus,0
"Libingen, Lindenboden",Bus,0
"Mosnang, Dietenwil",Bus,0
"Bütschwil, Bahnhof",Bus,0
"Mosnang, Aufeld",Bus,0
"Bütschwil, Pflegeheim",Bus,0
"Bütschwil, Hofwiesen",Bus,0
"Dietfurt, Neudietfurt",Bus,0
"Mosnang, Post",Bus,0
"Mosnang, Grütli",Bus,0
"Mosnang, Winkeln",Bus,0
"Mosnang, Weiher",Bus,0
"Dreien, Tüfi",Bus,0
"Mosnang, Schreinersberg",Bus,0
"Bütschwil, Engi",Bus,0
"Lichtensteig, Steigrüti",Bus,0
"Dietfurt, Bahnhof",Bus,0
"Oberhelfenschwil, Wigetshof",Bus,0
"Dietfurt, Langensteig",Bus,0
"Mühlrüti, Post",Bus,0
"Mühlrüti, Hulftegg",Bus,0
"Mühlrüti, Mühle",Bus,0
"Dreien, Freihof",Bus,0
"Dreien, Post",Bus,0
"Rindal, Landhaus",Bus,0
"Rindal, Oberrindal",Bus,0
"Rindal, Grütli",Bus,0
"Rindal, Unterrindal",Bus,0
"Lütisburg, Grünhügel",Bus,0
"Ganterschwil, Post",Bus,0
"Ganterschwil, Hirschen",Bus,0
"Ganterschwil, Oetschwilerstr.",Bus,0
"Bütschwil, Au",Bus,0
"Lichtensteig, St. Loreto",Bus,0
"Lichtensteig, Hof",Bus,0
"Lichtensteig, Obertor",Bus,0
"Lichtensteig, Bahnhof",Bus,0
"Lichtensteig, Untertor",Bus,0
"Lichtensteig, Rest. Bahnhöfli",Bus,0
"Lichtensteig, Rosengarten",Bus,0
"Nesslau-Neu St.Johann, Bahnhof",Bus,0
"Nesslau, Dicken",Bus,0
"Neu St. Johann, Stocken",Bus,0
"Nesslau, Germen",Bus,0
"Ennetbühl, Dorf",Bus,0
"Ebnat, Gieselbach",Bus,0
"Ebnat, Wier",Bus,0
"Ebnat, Gemeindehaus",Bus,0
"Ebnat, Mühlau",Bus,0
"Ebnat-Kappel, Bahnhof",Bus,0
"Ebnat, Kappel",Bus,0
"Ebnat, Au",Bus,0
"Ebnat, Kapplerhof",Bus,0
"Wattwil, Hegis",Bus,0
Ulisbach,Bus,0
"Oberhelfenschwil, Tobelacker",Bus,0
"Oberhelfenschwil, Dorf",Bus,0
"Lichtensteig, Gurtberg",Bus,0
"Lichtensteig, Gurtbergwald",Bus,0
"Lichtensteig, Hintergurtberg",Bus,0
"Krinau, Fabrik Feldmoos",Bus,0
"Krinau, Mühle",Bus,0
"Krinau, Rössli",Bus,0
"Stein SG, Breitenau",Bus,0
"Stein SG, Gemeindehaus",Bus,0
"Stein SG, Mühlewies",Bus,0
Starkenbach,Bus,0
"Alt St. Johann, Horb",Bus,0
"Alt St. Johann, Dorf",Bus,0
"Unterwasser, Stofel",Bus,0
"Unterwasser, Post",Bus,0
"Unterwasser, Wäldli",Bus,0
"Wildhaus, Schönau",Bus,0
"Wildhaus, Lisighaus",Bus,0
"Wildhaus, Dorf",Bus,0
"Wildhaus, Dusi",Bus,0
"Wildhaus, Bären",Bus,0
"Wildhaus, Tobelsäge",Bus,0
"Gams, Schutzgunten",Bus,0
Zollhaus b. Gams,Bus,0
Seebensäge,Bus,0
Rietbad,Bus,0
"Ennetbühl, Gillsäge",Bus,0
Nesslau-Neu St. Johann,Train,3521
"Muolen, Bahnhof",Bus,0
"Muolen, Bahnhofstrasse",Bus,0
"Muolen, Hirschen",Bus,0
"Muolen, Dorf",Bus,0
"Muolen, Sonnental",Bus,0
"Hagenwil bei Amriswil, Käserei",Bus,0
"Amriswil, St. Gallerstrasse",Bus,0
"Amriswil, Marktplatz",Bus,0
"Amriswil, Maihalde",Bus,0
"Amriswil, Hemmerswil",Bus,0
"Amriswil, Kirchstrasse",Bus,0
"Amriswil, Zentrum",Bus,0
"Amriswil, Güetli",Bus,0
"Amriswil, Säntisstrasse",Bus,0
"Amriswil, Almensberg",Bus,0
"Hefenhofen, Metropol",Bus,0
"Amriswil, Grenzstrasse",Bus,0
"Amriswil, Weiherstrasse",Bus,0
"Hefenhofen, Auenhofen",Bus,0
"Sommeri, Kirche",Bus,0
"Romanshorn, Bahnhof",Bus,0
"Amriswil, Kronberg",Bus,0
"Niederaach, Dorf",Bus,0
"Hefenhofen, Sonnenberg",Bus,0
"Hefenhofen, Sonne",Bus,0
"Sommeri, Alpstein",Bus,0
"Romanshorn, Hofstrasse",Bus,0
"Romanshorn, Coop",Bus,0
"Salmsach, Arbonerstrasse",Bus,0
"Romanshorn, Alleestrasse",Bus,0
"Löhningen, Dorf",Bus,0
"Siblingen, Dorf",Bus,0
"Siblingen, Am Stei",Bus,0
"Gächlingen, Siblingerstrasse",Bus,0
"Siblingen, Siblingerhöhe",Bus,0
"Gächlingen, Dorf",Bus,0
"Gächlingen, Höfe",Bus,0
"Siblingen, Näppental",Bus,0
"Neunkirch, Schulstrasse",Bus,0
"Neunkirch, Bahnhof",Bus,0
"Schleitheim, Hohbrugg",Bus,0
"Schleitheim, Salzbrunnen",Bus,0
"Schleitheim, Bahnhofstrasse",Bus,0
"Schleitheim, Adlerstrasse",Bus,0
"Schleitheim, Poststrasse",Bus,0
"Schleitheim, Schweizerbund",Bus,0
"Schleitheim, Gemeindehaus",Bus,0
"Schleitheim, Bachmühle",Bus,0
"Schleitheim, Mattenhof",Bus,0
"Beggingen, Neumühle",Bus,0
"Beggingen, Dorf",Bus,0
"Hemmental, Gehren",Bus,0
"Hemmental, Dorfplatz",Bus,0
Radolfzell,Train,-1
Engen,Train,-1
Immendingen,Train,-1
Singen (Hohentwiel) Industrie,Train,-1
Singen (Htw)-Landesgartenschau,Train,-1
Mühlhausen (b Engen),Train,-1
Tuttlingen,Train,-1
Gottmadingen,Train,-1
Glattbrugg,Train,-1
Glattfelden,Train,5000
Embrach-Rorbas,Train,11872
Niederglatt,Train,4839
Eglisau,Train,5118
Jestetten,Train,-1
Lottstetten,Train,-1
Rafz,Train,4375
"Bargen SH, Dorf",Bus,0
"Bargen SH, Schinderwies",Bus,0
"Merishausen, Schlauch",Bus,0
"Merishausen, Eichwis",Bus,0
"Merishausen, Gemeindehaus",Bus,0
"Merishausen, Brunngasse",Bus,0
"Merishausen, im Kerr",Bus,0
Thayngen,Train,5350
Bietingen,Train,-1
"Büttenhardt, Dorf",Bus,0
"Büttenhardt, Reiathöfe",Bus,0
"Lohn SH, Dorf",Bus,0
"Lohn SH, Kreuz",Bus,0
"Opfertshofen SH, Reiatstube",Bus,0
"Stetten SH, Staaringelacker",Bus,0
"Stetten SH, Sonne",Bus,0
"Stetten SH, Vorderdorf",Bus,0
"Opfertshofen SH, Dorf",Bus,0
"Altdorf SH, Dorf",Bus,0
"Hofen SH, Reiatschulhaus",Bus,0
"Bibern SH, Post",Bus,0
"Hofen SH, Dorf",Bus,0
"Thayngen, Hüttenleben",Bus,0
"Thayngen, Fallenwiese",Bus,0
"Thayngen, Weierli",Bus,0
"Barzheim, Dorf",Bus,0
"Thayngen, Bahnhof",Bus,0
"Thayngen, Schule",Bus,0
"Barzheim, Junkholz",Bus,0
"Dörflingen, Kirche",Bus,0
"Dörflingen, Post",Bus,0
"Dörflingen, Laag",Bus,0
"Dörflingen, Unterberg",Bus,0
"Dörflingen, Neuhus",Bus,0
"Büsingen, Kirche St. Michael",Bus,0
"Randegg, Ortsmitte (D)",Bus,0
"Randegg, Ottilienstrasse (D)",Bus,0
"Murbach, Zum Grenzstein (D)",Bus,0
"Buch SH, Dorf",Bus,0
"Buch SH, Brücke",Bus,0
"Ramsen, Brücke",Bus,0
"Ramsen, Dorf",Bus,0
"Ramsen, Sonne",Bus,0
"Ramsen, Post",Bus,0
"Ramsen, Roseneggstrasse",Bus,0
"Ramsen, Petersburg",Bus,0
"Hemishofen, Dorf",Bus,0
"Stein am Rhein, Strandbad",Bus,0
"Rielasingen, Zoll",Bus,0
"Ramsen, Zoll",Bus,0
"Rielasingen, Ramsener Str.",Bus,0
"Osterfingen, Lindenhof",Bus,0
"Wilchingen, Dorf",Bus,0
"Trasadingen, Dorf",Bus,0
"Wilchingen, Kapellenweg",Bus,0
"Trasadingen, Langwis",Bus,0
"Wilchingen-Hallau, Bahnhof",Bus,0
"Hallau, Brugg",Bus,0
"Hallau, Gemeindehaus",Bus,0
"Hallau, Atlingen",Bus,0
"Oberhallau, Trottengasse",Bus,0
"Neunkirch, Schweizerbund",Bus,0
"Guntmadingen, Oberneuhaus",Bus,0
"Stein am Rhein, Bahnhof",Bus,0
"Eschenz, Brüelweg",Bus,0
"Stein am Rhein, Rathaus",Bus,0
"Stein am Rhein, Schule",Bus,0
"Eschenz, Mettlen",Bus,0
"Mammern, Bahnhofstrasse",Bus,0
"Stein am Rhein, Untertor",Bus,0
"Eschenz, Höfen",Bus,0
"Singen (Htw), Rielasinger-Str.",Bus,0
"Singen (Htw), F. Ebert-Platz",Bus,0
"Singen (Htw), Julius-Bührer-St",Bus,0
"Singen (Htw), Markuskirche",Bus,0
"Singen (Htw), Bahnhof",Bus,0
"Singen (Htw), Heidenbühl",Bus,0
"Rielasingen, Schnaidholz",Bus,0
"Rielasingen, Mühle",Bus,0
"Rielasingen, Kirche",Bus,0
Böhringen-Rickelshausen,Train,-1
Allensbach,Train,-1
Markelfingen,Train,-1
Welschingen-Neuhausen,Train,-1
Donaueschingen,Train,-1
Geisingen,Train,-1
Spaichingen,Train,-1
Rottweil,Train,-1
"Flaach, Oberdorf",Bus,0
"Volken, Post",Bus,0
"Flaach, Post",Bus,0
"Dorf bei Andelfingen, Post",Bus,0
"Flaach, Unterdorf",Bus,0
"Flaach, Kirche",Bus,0
"Flaach, Ziegelhütte",Bus,0
"Flaach, Altersheim",Bus,0
Berg a. Irchel,Bus,0
"Rüdlingen, Gemeindehaus",Bus,0
"Rüdlingen, Brückenwaage",Bus,0
"Rüdlingen, Heimstätte",Bus,0
"Rüdlingen, Spitzrüti",Bus,0
"Rafz, Bahnhof",Bus,0
Steinenkreuz,Bus,0
"Rafz, Post",Bus,0
"Buchberg, Kirche",Bus,0
"Buchberg, Engel",Bus,0
"Hüntwangen-Wil, Bahnhof",Bus,0
"Rafz, Friedhof",Bus,0
"Rafz, Usserdorf",Bus,0
"Muotathal, Post",Bus,0
"Muotathal, Sternen",Bus,0
"Muotathal, Weid",Bus,0
"Muotathal, Säge",Bus,0
"Muotathal, Militärspital",Bus,0
"Muotathal, hintere Brücke",Bus,0
"Muotathal, Stützli",Bus,0
"Muotathal, Hölloch",Bus,0
"Muotathal, Balm",Bus,0
"Bisisthal, Herrgott",Bus,0
"Bisisthal, Steinweid",Bus,0
"Bisisthal, Laui",Bus,0
"Bisisthal, Mettlen",Bus,0
"Bisisthal, vorder Seeberg",Bus,0
"Bisisthal, Zentrale EBS",Bus,0
"Bisisthal, Dürrenboden",Bus,0
"Bisisthal, Schwarzenbach",Bus,0
"Bisisthal, Schlänggen",Bus,0
"Bisisthal, Sahli Seilbahnstat.",Bus,0
"Rothenthurm, Altmatt Bahnhof",Bus,0
"Bennau, Schwyzerbrugg",Bus,0
"Rothenthurm, Distel",Bus,0
"Biberbrugg, Bahnhof",Bus,0
"Bennau, Wettertannen",Bus,0
"Rothenthurm, Erste Altmatt",Bus,0
"Rothenthurm, Bahnhof",Bus,0
"Rothenthurm, Dorf",Bus,0
"Rothenthurm, Schoosstrasse",Bus,0
"Sattel, Krone",Bus,0
"Biberegg, Bahnhof",Bus,0
"Sattel, Talstation",Bus,0
"Sattel, Gondelbahn",Bus,0
"Sattel, Lutzistrasse",Bus,0
"Sattel, Bahnhofstrasse",Bus,0
"Sattel-Aegeri, Bahnhof",Bus,0
"Sattel, Erli",Bus,0
"Sattel, Ecce Homo",Bus,0
"Sattel, Bauernhof",Bus,0
"Steinen, Rigiblick",Bus,0
"Steinen, Adelboden",Bus,0
"Steinen, Spiegelberg",Bus,0
"Steinen, Spiegelberg Schlag",Bus,0
"Schwyz, Hirschen",Bus,0
"Schwyz, Burg",Bus,0
"Schwyz, Mettli",Bus,0
"Schwyz, Kaltbach",Bus,0
"Schwyz, Verkehrsamt",Bus,0
"Schwyz, Nietenbachstrasse",Bus,0
"Schwyz, Herrengasse",Bus,0
"Schwyz, Eglismatt",Bus,0
"Schwyz, Post",Bus,0
"Schwyz, Grossfeld",Bus,0
"Schwyz, Lützelmatt",Bus,0
"Schwyz, Sonnenplätzli",Bus,0
"Schwyz, Steisteg",Bus,0
"Schwyz, Lücken",Bus,0
"Schwyz, Laubstrasse",Bus,0
"Schwyz, Drei Könige",Bus,0
"Schwyz, Nietenbach",Bus,0
"Schwyz, Obstmühle/Friedhof",Bus,0
"Ibach, Mythen Center",Bus,0
"Ibach, Seilerstrasse",Bus,0
"Schwyz, Achermann",Bus,0
"Schwyz, Gartenlaubenstrasse",Bus,0
"Schwyz, St. Martinsstrasse",Bus,0
"Schwyz, Rest. Mythen",Bus,0
"Schwyz, Bachmatt",Bus,0
"Schwyz, Kollegi",Bus,0
"Bennau, Moos",Bus,0
"Seewen SZ, Stelzli",Bus,0
"Schwyz, Bahnhof",Bus,0
"Seewen SZ, Rösslimatt",Bus,0
"Seewen SZ, Barcarola",Bus,0
"Seewen SZ, Seewen Markt",Bus,0
"Ibach, Eigenwies",Bus,0
"Lauerz, Otten",Bus,0
"Muotathal, Lustnau",Bus,0
"Muotathal, Nuschlau",Bus,0
"Muotathal, Föllmisbrücke",Bus,0
"Ried (Muotathal), Vord. Brücke",Bus,0
"Ried (Muotathal), Seilb.Illgau",Bus,0
"Ried (Muotathal), Kappelmatt",Bus,0
"Ried (Muotathal), Mühlestuden",Bus,0
"Ried (Muotathal), Hesigen",Bus,0
"Ried (Muotathal), Selgis",Bus,0
"Ried (Muotathal), Grünenwald",Bus,0
"Schwyz, Stoosbahn",Bus,0
"Schwyz, Bierkeller",Bus,0
"Schwyz, Schützenhaus",Bus,0
"Schwyz, Grundkapelle",Bus,0
"Schwyz, Spital",Bus,0
"Schwyz, Spital Haupteingang",Bus,0
"Schwyz, Hinterdorf",Bus,0
"Schwyz, Grundstrasse",Bus,0
"Lauerz, Schwanau",Bus,0
"Lauerz, Seegütli",Bus,0
"Lauerz, Mühle",Bus,0
"Lauerz, Dorf",Bus,0
"Goldau, Waage",Bus,0
"Goldau, Buosingen Camping",Bus,0
"Goldau, Bernerhöhe",Bus,0
"Goldau, Kehlmattli",Bus,0
"Arth-Goldau, Bahnhof",Bus,0
"Goldau, Löwenplatz",Bus,0
"Oberarth, Dorf",Bus,0
"Goldau, Tierpark",Bus,0
"Arth, Feld",Bus,0
"Oberarth, Bifang",Bus,0
"Wollerau, Erlenmatte",Bus,0
"Wollerau, Junkerweg",Bus,0
"Wollerau, Oswäldli",Bus,0
"Samstagern, Bahnhof",Bus,0
"Wollerau, Untere Sihlegg",Bus,0
"Samstagern, Drei Eichen",Bus,0
"Wollerau, Fürti",Bus,0
"Wollerau, Sonnenberg",Bus,0
"Wollerau, Felsenrain",Bus,0
"Wollerau, Dorfplatz",Bus,0
"Wollerau, Wächlen",Bus,0
"Wollerau, Felsenstrasse",Bus,0
"Wollerau, Schollenmatt",Bus,0
"Wollerau, Roos",Bus,0
"Wollerau, Ried",Bus,0
"Wollerau, Obermühle",Bus,0
"Wollerau, Studenbühl",Bus,0
"Wollerau, Schwalbenboden",Bus,0
"Wollerau, Hermannsweid",Bus,0
"Wollerau, Höfli",Bus,0
"Richterswil, Säumerstrasse",Bus,0
"Richterswil, Schwyzerstrasse",Bus,0
"Wollerau, Hafen",Bus,0
"Richterswil, Bahnhof",Bus,0
"Wollerau, Chüngentobel",Bus,0
"Wädenswil, Staubeweidli",Bus,0
"Richterswil, Kerag",Bus,0
"Richterswil, Wisli",Bus,0
"Wädenswil, Giessen",Bus,0
"Richterswil, Bächlistrasse",Bus,0
"Richterswil, Neuhus",Bus,0
"Wollerau, Verenahof",Bus,0
"Wollerau, Weingarten/Bellevue",Bus,0
"Wollerau, Bahnhof",Bus,0
"Wollerau, Wyssenfluh",Bus,0
"Wilen bei Wollerau, Schlyffi",Bus,0
"Freienbach, alte Post",Bus,0
"Freienbach, Oechsli",Bus,0
"Freienbach, Leutschen",Bus,0
"Freienbach, Stationsweg",Bus,0
"Freienbach, Bezirksschule",Bus,0
"Freienbach, Chrummen",Bus,0
"Freienbach, Seeberg",Bus,0
"Freienbach, Gehren",Bus,0
"Wilen bei Wollerau, Eulen",Bus,0
"Wilen bei Wollerau, Obereulen",Bus,0
"Wilen bei Wollerau, Bahnhof",Bus,0
"Samstagern, Fälmis",Bus,0
"Pfäffikon SZ, Eichenstrasse",Bus,0
"Pfäffikon SZ, Roggenacker",Bus,0
"Bäch SZ, Bahnhof",Bus,0
"Bäch SZ, Badi",Bus,0
"Bäch SZ, Schulhaus",Bus,0
"Bäch SZ, Usserbäch",Bus,0
"Freienbach, Obstgarten",Bus,0
"Feusisberg, Gemeindehaus",Bus,0
"Feusisberg, Feld",Bus,0
"Feusisberg, Alterszentrum",Bus,0
"Feusisberg, Hotel Panorama",Bus,0
"Feusisberg, Ried",Bus,0
"Feusisberg, Riedhof",Bus,0
"Pfäffikon SZ, Abzw. Etzelpass",Bus,0
"Feusisberg, Kreuzstrasse",Bus,0
"Schindellegi, Pauli",Bus,0
"Schindellegi, Sihlegg",Bus,0
"Schindellegi, Schwandweg",Bus,0
"Schindellegi, Aesch",Bus,0
"Schindellegi, Sunnestrahl",Bus,0
"Schindellegi, Post",Bus,0
"Schindellegi-Feusisberg, Bhf.",Bus,0
"Ibach, Post/Kirche",Bus,0
"Ibach, Schützenstrasse",Bus,0
"Ibach, Erlen",Bus,0
"Ibach, Plätzli",Bus,0
"Ibach, Muotastrasse",Bus,0
"Ibach, Rainweg",Bus,0
"Ibach, Diesel",Bus,0
"Ibach, Landsgemeindestrasse",Bus,0
"Ibach, Rest. Rose",Bus,0
"Ibach, Studenmatt",Bus,0
"Ingenbohl, Fuchsenen",Bus,0
"Ingenbohl, Gätzli",Bus,0
"Ingenbohl, Klosterstrasse",Bus,0
"Brunnen, Bahnhof",Bus,0
"Brunnen, Kantonalbank",Bus,0
"Brunnen, Seilbahn Urmiberg",Bus,0
"Brunnen, See/Schiffstation",Bus,0
"Brunnen, Sportplatzweg",Bus,0
"Brunnen, Hopfräben",Bus,0
"Brunnen, Schiller",Bus,0
"Brunnen, Hafenstrasse",Bus,0
"Morschach, Swiss Holiday Park",Bus,0
"Brunnen, Heideweg",Bus,0
"Morschach, Post",Bus,0
"Brunnen, Fallenbach",Bus,0
"Brunnen, Seeschlössli",Bus,0
"Steinen, Bahnhof",Bus,0
"Steinen, Rest. Löwen",Bus,0
"Steinen, Dorfbrücke",Bus,0
"Steinen, Hausmatt",Bus,0
"Steinen, Wyler",Bus,0
"Steinen, Oelberg",Bus,0
"Schwyz, Engiberg",Bus,0
"Seewen SZ, Bienenheimstrasse",Bus,0
"Arth, Aazopf",Bus,0
"Arth, Klostermatt",Bus,0
"Arth, Chäppeli",Bus,0
"Arth, Am See",Bus,0
"Arth, Tafelstatt",Bus,0
"Arth, Dorf",Bus,0
"Oberarth, Rischi",Bus,0
"Goldau, Bischofshusen",Bus,0
"Goldau, Schützenhaus",Bus,0
"Goldau, Neu-Röthen",Bus,0
"Immensee, Sunnehof",Bus,0
"Steinerberg, Chornacher",Bus,0
"Steinerberg, Husmatt",Bus,0
"Steinerberg, St. Anna",Bus,0
"Steinerberg, Diezigen",Bus,0
"Küssnacht am Rigi, Fänn Nord",Bus,0
"Risch, Landhaus",Bus,0
"Risch, Eichengrundweg",Bus,0
"Rickenbach SZ, Post",Bus,0
"Rickenbach SZ, Rotenfluebahn",Bus,0
"Rickenbach SZ, Bol",Bus,0
"Rickenbach SZ, Stalden",Bus,0
"Rickenbach SZ, Aufiberg/Gruobi",Bus,0
"Rickenbach SZ, Windstock",Bus,0
"Schwyz, Lärchenweg/Kollegi",Bus,0
"Schwyz, Dorfbach",Bus,0
Meggen,Train,6887
"Schwyz, Obermatt",Bus,0
"Schwyz, Salesheim",Bus,0
"Schwyz, Riedbrücke",Bus,0
"Schwyz, Mangelegg",Bus,0
"Schwyz, Weidhuobli",Bus,0
"Schwyz, Loostrasse",Bus,0
"Ibach, Eichenweg",Bus,0
Schindellegi-Feusisberg,Train,5165
Einsiedeln,Train,15077
Samstagern,Train,-1
Wollerau,Train,7024
Riedmatt SZ,Train,0
"Ibach, Kieswerk",Bus,0
"Ibach, Husmatt",Bus,0
"Ibach, Abzw. Unterschönenbuch",Bus,0
"Ibach, Oberschönenbuch",Bus,0
"Ibach, Kapelle",Bus,0
"Morschach, Luftseilbahn",Bus,0
"Morschach, Schwyzerhöhe",Bus,0
"Morschach, Wil",Bus,0
Wilen bei Wollerau,Train,-1
"Rickenbach SZ, Chaisten",Bus,0
"Rickenbach SZ, Meinradsrank",Bus,0
"Rickenbach SZ, Lauenen",Bus,0
"Rickenbach SZ, Handgruobi",Bus,0
"Rickenbach SZ, Gründel/St Karl",Bus,0
"Rickenbach SZ, Oberberg",Bus,0
"Ibergeregg, Eseltritt",Bus,0
"Ibergeregg, Riedmatt",Bus,0
"Ibergeregg, Passhöhe",Bus,0
"Ibergeregg, Alpstubli",Bus,0
"Oberiberg, Wandli",Bus,0
"Oberiberg, Laburg",Bus,0
"Oberiberg, Tschalun",Bus,0
"Hoch-Ybrig, Talst. Laucheren",Bus,0
"Oberiberg, Neuseewen",Bus,0
"Oberiberg, Oberjessenen",Bus,0
"Unteriberg, Jessenenbrücke",Bus,0
"Buttikon SZ, Oberstufenschule",Bus,0
"Buttikon SZ, Dorfplatz",Bus,0
"Reichenburg, Altersheim",Bus,0
"Buttikon SZ, Mühlemoos",Bus,0
"Tuggen, Mühlenen",Bus,0
"Schübelbach, Gutenbrunnen",Bus,0
"Tuggen, Rüteli",Bus,0
"Schübelbach, Gramatt",Bus,0
"Tuggen, Kesmalon",Bus,0
"Tuggen, Schlüsselweg",Bus,0
"Tuggen, Linthhof",Bus,0
"Tuggen, Rüschenzopf",Bus,0
"Tuggen, Post",Bus,0
"Tuggen, Obstlager",Bus,0
"Tuggen, Egg",Bus,0
"Tuggen, Holeneich",Bus,0
"Wangen SZ, Lochgasse",Bus,0
"Wangen SZ, Zentrum",Bus,0
"Wangen SZ, alte Post",Bus,0
"Wangen SZ, Höfli",Bus,0
"Siebnen-Wangen, Bahnhof",Bus,0
"Wangen SZ, Löwenfeld",Bus,0
"Siebnen, Zentralhof",Bus,0
"Siebnen, Schulhaus",Bus,0
"Siebnen, Aabrücke",Bus,0
"Siebnen, Neudörfli",Bus,0
"Siebnen, Mühle",Bus,0
"Siebnen, Schorrenstrasse",Bus,0
"Siebnen, Bettnau",Bus,0
"Schübelbach, Oberhöfli",Bus,0
"Schübelbach, West",Bus,0
"Schübelbach, Dorf",Bus,0
"Reichenburg, Bahnhof",Bus,0
"Vorderthal, Gfell",Bus,0
"Siebnen, Stegweg",Bus,0
"Galgenen, Hornbach",Bus,0
"Galgenen, Kirche",Bus,0
"Galgenen, Diga",Bus,0
"Lachen SZ, Spreite",Bus,0
"Lachen SZ, Spital",Bus,0
"Nuolen, Ochsenboden",Bus,0
"Wangen SZ, Gätzibach",Bus,0
"Nuolen, Kirche",Bus,0
"Innerthal, Post",Bus,0
"Innerthal, Staumauer",Bus,0
"Vorderthal, Schweig",Bus,0
"Vorderthal, Bächweidstrasse",Bus,0
"Vorderthal, Post",Bus,0
"Vorderthal, Schweizerhof",Bus,0
"Vorderthal, Sonne",Bus,0
"Vorderthal, Einschnitt",Bus,0
"Vorderthal, Rempen",Bus,0
"Vorderthal, Flühbödeli",Bus,0
"Buonas, Schmidhof",Bus,0
"Buonas, Neuhofstrasse",Bus,0
"Risch, Dorf",Bus,0
"Risch, Stotzenacker",Bus,0
"Riemenstalden, Chäppeliberg",Bus,0
"Riemenstalden, alte Post",Bus,0
"Riemenstalden, Langrüti",Bus,0
"Riemenstalden, Hüsern",Bus,0
"Riemenstalden, Riedberg",Bus,0
"Sisikon, Binzenegg",Bus,0
"Sisikon, Bahnhof",Bus,0
"Einsiedeln, Bahnhof",Bus,0
"Einsiedeln, Brüel",Bus,0
"Einsiedeln, Heidenbühl",Bus,0
"Einsiedeln, Klosterplatz",Bus,0
"Einsiedeln, Diorama",Bus,0
"Einsiedeln, Altersheim",Bus,0
"Einsiedeln, Friedhof",Bus,0
"Einsiedeln, Grotzenmühlestr.",Bus,0
"Einsiedeln, Steinauerstrasse",Bus,0
"Horgenberg b. Einsied., Grütli",Bus,0
"Einsiedeln, Wissmüli",Bus,0
"Einsiedeln, Gerbe",Bus,0
"Einsiedeln, Rüti-Säge",Bus,0
"Einsiedeln, Birchli/Garage",Bus,0
"Einsiedeln, Allmeindstrasse",Bus,0
"Einsiedeln,Altersheim Langrüti",Bus,0
"Einsiedeln, Spital",Bus,0
