stop,type,population
"Wettingen, Rebstock",Bus,0
"Wettingen, Rathaus",Bus,0
"Wettingen, St. Sebastian",Bus,0
"Wettingen, Sonne",Bus,0
"Wettingen, Albisstrasse",Bus,0
"Wettingen, Bahnhofstrasse",Bus,0
"Wettingen, Schönenbühlstrasse",Bus,0
"Wettingen, Busgarage",Bus,0
"Wettingen, Bushof",Bus,0
"Wettingen, Halbartenstrasse",Bus,0
"Wettingen, Kreuzkapelle",Bus,0
"Wettingen, Hardstrasse",Bus,0
"Wettingen, Jurastrasse",Bus,0
"Wettingen, Tägipark",Bus,0
"Würenlos, Flüefeld",Bus,0
"Würenlos, Bahnhof",Bus,0
"Wettingen, Tägi",Bus,0
"Würenlos, Post",Bus,0
"Würenlos, Raiffeisenbank",Bus,0
"Würenlos, Büntenstrasse",Bus,0
"Würenlos, Bettlen",Bus,0
"Würenlos, Brunnenweg",Bus,0
"Würenlos, Spycher",Bus,0
"Gebenstorf, Reuss",Bus,0
"Gebenstorf, alte Post",Bus,0
"Windisch, Zentrum",Bus,0
"Birmenstorf AG, Schinebüel",Bus,0
"Gebenstorf, Cherne",Bus,0
"Gebenstorf, Alter Löwen",Bus,0
"Windisch, Breiti",Bus,0
"Brugg AG, Bahnhof/Campus",Bus,0
"Windisch, Zelgli",Bus,0
"Birmenstorf AG, Post",Bus,0
"Gebenstorf, Rieden",Bus,0
"Gebenstorf, Gemeindehaus",Bus,0
"Gebenstorf, Waldheim",Bus,0
"Gebenstorf, Vogelsang",Bus,0
"Turgi, Gehling",Bus,0
"Turgi, Bahnhof",Bus,0
"Zofingen, Bahnhof",Bus,0
"Zofingen, Bifangstrasse",Bus,0
"Zofingen, Spitalgasse",Bus,0
"Zofingen, Oberer Stadteingang",Bus,0
"Zofingen, Henzmannstrasse",Bus,0
"Zofingen, Spital",Bus,0
"Zofingen, Mühlethalstrasse",Bus,0
"Oftringen, Ruhbank",Bus,0
"Zofingen, Römerbad",Bus,0
"Zofingen, Heitereplatz",Bus,0
"Zofingen, Untere Brühlstrasse",Bus,0
"Zofingen, Falkeisenmatte",Bus,0
"Zofingen, Tagblatt",Bus,0
"Zofingen, Ackerstrasse",Bus,0
"Oftringen, Döbeligut",Bus,0
"Oftringen, Bühnenberg-Sonnmatt",Bus,0
"Küngoldingen, Post",Bus,0
"Oftringen, Gilam",Bus,0
"Oftringen, Schulhaus/Kirche",Bus,0
"Oftringen, Oberfeld",Bus,0
"Oftringen, Obristhof",Bus,0
"Oftringen, Neuquartier",Bus,0
"Oftringen, Kreuzplatz",Bus,0
"Oftringen,Kallernhag/Center A1",Bus,0
"Oftringen, Perry-Center",Bus,0
"Oftringen, Baslerstrasse",Bus,0
"Oftringen, Wirtshüsli",Bus,0
"Oftringen, alte Strasse",Bus,0
"Oftringen, Eggenscheide",Bus,0
"Aarburg-Oftringen, Bahnhof",Bus,0
"Aarburg, Städtli",Bus,0
"Rothrist, Bahnhof",Bus,0
"Aarburg, Stadtgarten",Bus,0
"Aarburg, Höhe",Bus,0
"Boningen, Ruppoldingen",Bus,0
"Aarburg, Alter Friedhof",Bus,0
"Rothrist, Grüebli",Bus,0
"Rothrist, Sennhof-Dörfli",Bus,0
"Rothrist, Breitenpark",Bus,0
"Zofingen, Altachen",Bus,0
"Zofingen, Schwimmbad",Bus,0
"Zofingen, Riedtalstrasse",Bus,0
"Zofingen, Eisengrube",Bus,0
"Brittnau, Abzw. Hard",Bus,0
"Wikon, Hotel Adelboden",Bus,0
"Zofingen, Haldenweg",Bus,0
"Brittnau, Lärchenweg",Bus,0
"Wikon, Kreuzung",Bus,0
"Zofingen, Bergli Friedhof",Bus,0
"Zofingen, Heitere Hirschpark",Bus,0
"Maisprach, Dorf",Bus,0
"Buus, Aufgend",Bus,0
"Maisprach, Hofmet",Bus,0
"Buus, Dorf",Bus,0
"Magden, Lanzenberg",Bus,0
"Magden, Post",Bus,0
"Magden, Schwimmbad",Bus,0
"Magden, Unterdorf",Bus,0
"Olsberg, Schönenbühl",Bus,0
"Rheinfelden, Eremitage",Bus,0
"Rheinfelden, Engerfeld",Bus,0
"Rheinfelden, Spitalstrasse",Bus,0
"Rheinfelden, Töpferweg",Bus,0
"Rheinfelden, Post",Bus,0
"Rheinfelden, Altersheim",Bus,0
"Rheinfelden, Stadtpark",Bus,0
"Rheinfelden, Regionalspital",Bus,0
"Möhlin, Unter der Halde",Bus,0
"Rheinfelden, Kohlplatz",Bus,0
"Rheinfelden, Bahnhof",Bus,0
"Rheinfelden, Albrechtsplatz",Bus,0
