,0,1
405,68-32-Y-j18-1,S-Bahn
406,79-32-Y-j18-1,RegioExpress
407,80-32-Y-j18-1,RegioExpress
408,26-33-j18-1,S-Bahn
409,66-33-Y-j18-1,Regionalzug
410,68-33-Y-j18-1,S-Bahn
411,79-33-Y-j18-1,RegioExpress
412,80-33-Y-j18-1,RegioExpress
413,66-340-j18-1,Regionalzug
414,66-34-Y-j18-1,Regionalzug
415,68-34-Y-j18-1,S-Bahn
416,79-34-Y-j18-1,RegioExpress
417,80-34-Y-j18-1,RegioExpress
418,26-35-j18-1,S-Bahn
419,66-35-Y-j18-1,Regionalzug
420,68-35-Y-j18-1,S-Bahn
421,79-35-Y-j18-1,RegioExpress
422,80-35-Y-j18-1,RegioExpress
423,1-36-j18-1,InterRegio
424,26-36-j18-1,InterRegio
425,66-36-Y-j18-1,Regionalzug
426,68-36-Y-j18-1,S-Bahn
427,79-36-Y-j18-1,RegioExpress
428,80-36-Y-j18-1,RegioExpress
429,1-37-j18-1,InterRegio
430,16-37-j18-1,InterRegio
431,26-37-j18-1,InterRegio
432,66-37-Y-j18-1,Regionalzug
433,68-37-Y-j18-1,S-Bahn
434,79-37-Y-j18-1,RegioExpress
435,80-37-Y-j18-1,RegioExpress
436,66-38-Y-j18-1,Regionalzug
437,68-38-Y-j18-1,S-Bahn
438,79-38-Y-j18-1,RegioExpress
439,80-38-Y-j18-1,RegioExpress
440,66-39-Y-j18-1,Regionalzug
441,68-39-Y-j18-1,S-Bahn
442,79-39-Y-j18-1,RegioExpress
443,80-39-Y-j18-1,RegioExpress
444,40-3-Y-j18-1,Eurocity
445,42-3-Y-j18-1,Intercity
446,54-3-Y-j18-1,ICE
447,57-3-Y-j18-1,TGV
448,59-3-Y-j18-1,InterRegio
449,60-3-Y-j18-1,InterRegio
450,63-3-Y-j18-1,Extrazug
451,64-3-Y-j18-1,Extrazug
452,66-3-Y-j18-1,Regionalzug
453,68-3-Y-j18-1,S-Bahn
454,69-3-Y-j18-1,S-Bahn
455,72-3-Y-j18-1,S-Bahn
456,74-3-Y-j18-1,RegioExpress
457,76-3-Y-j18-1,Schnellzug
458,77-3-Y-j18-1,RegioExpress
459,78-3-Y-j18-1,RegioExpress
460,79-3-Y-j18-1,RegioExpress
461,80-3-Y-j18-1,RegioExpress
462,2-4-j18-1,S-Bahn
463,6-4-j18-1,S-Bahn
464,12-4-A-j18-1,S-Bahn
465,15-4-j18-1,S-Bahn
466,16-4-j18-1,S-Bahn
467,17-4-j18-1,Intercity
468,23-4-j18-1,S-Bahn
469,26-4-A-j18-1,S-Bahn
470,26-4-j18-1,S-Bahn
471,79-4-C-j18-1,S-Bahn
472,8-40-j18-1,S-Bahn
473,18-40-j18-1,S-Bahn
474,20-40-j18-1,S-Bahn
475,66-40-Y-j18-1,Regionalzug
