,stop,type
10286,"Rielasingen, Ramsener Str.",Bus
10287,"Osterfingen, Lindenhof",Bus
10288,"Wilchingen, Dorf",Bus
10289,"Trasadingen, Dorf",Bus
10290,"Wilchingen, Kapellenweg",Bus
10291,"Trasadingen, Langwis",Bus
10292,"Wilchingen-Hallau, Bahnhof",Bus
10293,"Hallau, Brugg",Bus
10294,"Hallau, Gemeindehaus",Bus
10295,"Hallau, Atlingen",Bus
10296,"Oberhallau, Trottengasse",Bus
10297,"Neunkirch, Schweizerbund",Bus
10298,"Guntmadingen, Oberneuhaus",Bus
10299,"Stein am Rhein, Bahnhof",Bus
10300,"Eschenz, Brüelweg",Bus
10301,"Stein am Rhein, Rathaus",Bus
10302,"Stein am Rhein, Schule",Bus
10303,"Eschenz, Mettlen",Bus
10304,"Mammern, Bahnhofstrasse",Bus
10305,"Stein am Rhein, Untertor",Bus
10306,"Eschenz, Höfen",Bus
10307,"Singen (Htw), Rielasinger-Str.",Bus
10308,"Singen (Htw), F. Ebert-Platz",Bus
10309,"Singen (Htw), Julius-Bührer-St",Bus
10310,"Singen (Htw), Markuskirche",Bus
10311,"Singen (Htw), Bahnhof",Bus
10312,"Singen (Htw), Heidenbühl",Bus
10313,"Rielasingen, Schnaidholz",Bus
10314,"Rielasingen, Mühle",Bus
10315,"Rielasingen, Kirche",Bus
10316,Böhringen-Rickelshausen,Train
10317,Allensbach,Train
10318,Markelfingen,Train
10319,Welschingen-Neuhausen,Train
10320,Donaueschingen,Train
10321,Geisingen,Train
10322,Spaichingen,Train
10323,Rottweil,Train
10324,"Flaach, Oberdorf",Bus
10325,"Volken, Post",Bus
10326,"Flaach, Post",Bus
10327,"Dorf bei Andelfingen, Post",Bus
10328,"Flaach, Unterdorf",Bus
10329,"Flaach, Kirche",Bus
10330,"Flaach, Ziegelhütte",Bus
10331,"Flaach, Altersheim",Bus
10332,Berg a. Irchel,Bus
10333,"Rüdlingen, Gemeindehaus",Bus
10334,"Rüdlingen, Brückenwaage",Bus
10335,"Rüdlingen, Heimstätte",Bus
10336,"Rüdlingen, Spitzrüti",Bus
10337,"Rafz, Bahnhof",Bus
10338,Steinenkreuz,Bus
10339,"Rafz, Post",Bus
10340,"Buchberg, Kirche",Bus
10341,"Buchberg, Engel",Bus
10342,"Hüntwangen-Wil, Bahnhof",Bus
10343,"Rafz, Friedhof",Bus
10344,"Rafz, Usserdorf",Bus
10345,"Muotathal, Post",Bus
10346,"Muotathal, Sternen",Bus
10347,"Muotathal, Weid",Bus
10348,"Muotathal, Säge",Bus
10349,"Muotathal, Militärspital",Bus
10350,"Muotathal, hintere Brücke",Bus
10351,"Muotathal, Stützli",Bus
10352,"Muotathal, Hölloch",Bus
10353,"Muotathal, Balm",Bus
10354,"Bisisthal, Herrgott",Bus
10355,"Bisisthal, Steinweid",Bus
10356,"Bisisthal, Laui",Bus
10357,"Bisisthal, Mettlen",Bus
10358,"Bisisthal, vorder Seeberg",Bus
10359,"Bisisthal, Zentrale EBS",Bus
10360,"Bisisthal, Dürrenboden",Bus
10361,"Bisisthal, Schwarzenbach",Bus
10362,"Bisisthal, Schlänggen",Bus
10363,"Bisisthal, Sahli Seilbahnstat.",Bus
10364,"Rothenthurm, Altmatt Bahnhof",Bus
10365,"Bennau, Schwyzerbrugg",Bus
10366,"Rothenthurm, Distel",Bus
10367,"Biberbrugg, Bahnhof",Bus
10368,"Bennau, Wettertannen",Bus
10369,"Rothenthurm, Erste Altmatt",Bus
10370,"Rothenthurm, Bahnhof",Bus
10371,"Rothenthurm, Dorf",Bus
10372,"Rothenthurm, Schoosstrasse",Bus
10373,"Sattel, Krone",Bus
10374,"Biberegg, Bahnhof",Bus
10375,"Sattel, Talstation",Bus
10376,"Sattel, Gondelbahn",Bus
10377,"Sattel, Lutzistrasse",Bus
10378,"Sattel, Bahnhofstrasse",Bus
10379,"Sattel-Aegeri, Bahnhof",Bus
10380,"Sattel, Erli",Bus
10381,"Sattel, Ecce Homo",Bus
10382,"Sattel, Bauernhof",Bus
10383,"Steinen, Rigiblick",Bus
10384,"Steinen, Adelboden",Bus
10385,"Steinen, Spiegelberg",Bus
10386,"Steinen, Spiegelberg Schlag",Bus
10387,"Schwyz, Hirschen",Bus
10388,"Schwyz, Burg",Bus
10389,"Schwyz, Mettli",Bus
10390,"Schwyz, Kaltbach",Bus
10391,"Schwyz, Verkehrsamt",Bus
10392,"Schwyz, Nietenbachstrasse",Bus
10393,"Schwyz, Herrengasse",Bus
10394,"Schwyz, Eglismatt",Bus
10395,"Schwyz, Post",Bus
10396,"Schwyz, Grossfeld",Bus
10397,"Schwyz, Lützelmatt",Bus
10398,"Schwyz, Sonnenplätzli",Bus
10399,"Schwyz, Steisteg",Bus
10400,"Schwyz, Lücken",Bus
10401,"Schwyz, Laubstrasse",Bus
10402,"Schwyz, Drei Könige",Bus
10403,"Schwyz, Nietenbach",Bus
10404,"Schwyz, Obstmühle/Friedhof",Bus
10405,"Ibach, Mythen Center",Bus
10406,"Ibach, Seilerstrasse",Bus
10407,"Schwyz, Achermann",Bus
10408,"Schwyz, Gartenlaubenstrasse",Bus
10409,"Schwyz, St. Martinsstrasse",Bus
10410,"Schwyz, Rest. Mythen",Bus
10411,"Schwyz, Bachmatt",Bus
10412,"Schwyz, Kollegi",Bus
10413,"Bennau, Moos",Bus
10414,"Seewen SZ, Stelzli",Bus
10415,"Schwyz, Bahnhof",Bus
10416,"Seewen SZ, Rösslimatt",Bus
10417,"Seewen SZ, Barcarola",Bus
10418,"Seewen SZ, Seewen Markt",Bus
10419,"Ibach, Eigenwies",Bus
10420,"Lauerz, Otten",Bus
10421,"Muotathal, Lustnau",Bus
10422,"Muotathal, Nuschlau",Bus
10423,"Muotathal, Föllmisbrücke",Bus
10424,"Ried (Muotathal), Vord. Brücke",Bus
10425,"Ried (Muotathal), Seilb.Illgau",Bus
10426,"Ried (Muotathal), Kappelmatt",Bus
10427,"Ried (Muotathal), Mühlestuden",Bus
10428,"Ried (Muotathal), Hesigen",Bus
10429,"Ried (Muotathal), Selgis",Bus
10430,"Ried (Muotathal), Grünenwald",Bus
10431,"Schwyz, Stoosbahn",Bus
10432,"Schwyz, Bierkeller",Bus
10433,"Schwyz, Schützenhaus",Bus
10434,"Schwyz, Grundkapelle",Bus
10435,"Schwyz, Spital",Bus
10436,"Schwyz, Spital Haupteingang",Bus
10437,"Schwyz, Hinterdorf",Bus
10438,"Schwyz, Grundstrasse",Bus
10439,"Lauerz, Schwanau",Bus
10440,"Lauerz, Seegütli",Bus
10441,"Lauerz, Mühle",Bus
10442,"Lauerz, Dorf",Bus
10443,"Goldau, Waage",Bus
10444,"Goldau, Buosingen Camping",Bus
10445,"Goldau, Bernerhöhe",Bus
10446,"Goldau, Kehlmattli",Bus
10447,"Arth-Goldau, Bahnhof",Bus
10448,"Goldau, Löwenplatz",Bus
10449,"Oberarth, Dorf",Bus
10450,"Goldau, Tierpark",Bus
10451,"Arth, Feld",Bus
10452,"Oberarth, Bifang",Bus
10453,"Wollerau, Erlenmatte",Bus
10454,"Wollerau, Junkerweg",Bus
10455,"Wollerau, Oswäldli",Bus
10456,"Samstagern, Bahnhof",Bus
10457,"Wollerau, Untere Sihlegg",Bus
10458,"Samstagern, Drei Eichen",Bus
10459,"Wollerau, Fürti",Bus
10460,"Wollerau, Sonnenberg",Bus
10461,"Wollerau, Felsenrain",Bus
10462,"Wollerau, Dorfplatz",Bus
10463,"Wollerau, Wächlen",Bus
10464,"Wollerau, Felsenstrasse",Bus
10465,"Wollerau, Schollenmatt",Bus
10466,"Wollerau, Roos",Bus
10467,"Wollerau, Ried",Bus
10468,"Wollerau, Obermühle",Bus
10469,"Wollerau, Studenbühl",Bus
10470,"Wollerau, Schwalbenboden",Bus
10471,"Wollerau, Hermannsweid",Bus
10472,"Wollerau, Höfli",Bus
10473,"Richterswil, Säumerstrasse",Bus
10474,"Richterswil, Schwyzerstrasse",Bus
10475,"Wollerau, Hafen",Bus
10476,"Richterswil, Bahnhof",Bus
10477,"Wollerau, Chüngentobel",Bus
10478,"Wädenswil, Staubeweidli",Bus
10479,"Richterswil, Kerag",Bus
10480,"Richterswil, Wisli",Bus
10481,"Wädenswil, Giessen",Bus
10482,"Richterswil, Bächlistrasse",Bus
10483,"Richterswil, Neuhus",Bus
10484,"Wollerau, Verenahof",Bus
10485,"Wollerau, Weingarten/Bellevue",Bus
10486,"Wollerau, Bahnhof",Bus
10487,"Wollerau, Wyssenfluh",Bus
10488,"Wilen bei Wollerau, Schlyffi",Bus
10489,"Freienbach, alte Post",Bus
10490,"Freienbach, Oechsli",Bus
10491,"Freienbach, Leutschen",Bus
10492,"Freienbach, Stationsweg",Bus
10493,"Freienbach, Bezirksschule",Bus
10494,"Freienbach, Chrummen",Bus
10495,"Freienbach, Seeberg",Bus
10496,"Freienbach, Gehren",Bus
10497,"Wilen bei Wollerau, Eulen",Bus
10498,"Wilen bei Wollerau, Obereulen",Bus
10499,"Wilen bei Wollerau, Bahnhof",Bus
10500,"Samstagern, Fälmis",Bus
10501,"Pfäffikon SZ, Eichenstrasse",Bus
10502,"Pfäffikon SZ, Roggenacker",Bus
10503,"Bäch SZ, Bahnhof",Bus
10504,"Bäch SZ, Badi",Bus
10505,"Bäch SZ, Schulhaus",Bus
10506,"Bäch SZ, Usserbäch",Bus
10507,"Freienbach, Obstgarten",Bus
10508,"Feusisberg, Gemeindehaus",Bus
10509,"Feusisberg, Feld",Bus
10510,"Feusisberg, Alterszentrum",Bus
10511,"Feusisberg, Hotel Panorama",Bus
10512,"Feusisberg, Ried",Bus
10513,"Feusisberg, Riedhof",Bus
10514,"Pfäffikon SZ, Abzw. Etzelpass",Bus
10515,"Feusisberg, Kreuzstrasse",Bus
10516,"Schindellegi, Pauli",Bus
10517,"Schindellegi, Sihlegg",Bus
10518,"Schindellegi, Schwandweg",Bus
10519,"Schindellegi, Aesch",Bus
10520,"Schindellegi, Sunnestrahl",Bus
10521,"Schindellegi, Post",Bus
10522,"Schindellegi-Feusisberg, Bhf.",Bus
10523,"Ibach, Post/Kirche",Bus
10524,"Ibach, Schützenstrasse",Bus
10525,"Ibach, Erlen",Bus
10526,"Ibach, Plätzli",Bus
10527,"Ibach, Muotastrasse",Bus
10528,"Ibach, Rainweg",Bus
10529,"Ibach, Diesel",Bus
10530,"Ibach, Landsgemeindestrasse",Bus
10531,"Ibach, Rest. Rose",Bus
10532,"Ibach, Studenmatt",Bus
10533,"Ingenbohl, Fuchsenen",Bus
10534,"Ingenbohl, Gätzli",Bus
10535,"Ingenbohl, Klosterstrasse",Bus
10536,"Brunnen, Bahnhof",Bus
10537,"Brunnen, Kantonalbank",Bus
10538,"Brunnen, Seilbahn Urmiberg",Bus
10539,"Brunnen, See/Schiffstation",Bus
10540,"Brunnen, Sportplatzweg",Bus
10541,"Brunnen, Hopfräben",Bus
10542,"Brunnen, Schiller",Bus
10543,"Brunnen, Hafenstrasse",Bus
10544,"Morschach, Swiss Holiday Park",Bus
10545,"Brunnen, Heideweg",Bus
10546,"Morschach, Post",Bus
10547,"Brunnen, Fallenbach",Bus
10548,"Brunnen, Seeschlössli",Bus
10549,"Steinen, Bahnhof",Bus
10550,"Steinen, Rest. Löwen",Bus
10551,"Steinen, Dorfbrücke",Bus
10552,"Steinen, Hausmatt",Bus
10553,"Steinen, Wyler",Bus
10554,"Steinen, Oelberg",Bus
10555,"Schwyz, Engiberg",Bus
10556,"Seewen SZ, Bienenheimstrasse",Bus
10557,"Arth, Aazopf",Bus
10558,"Arth, Klostermatt",Bus
10559,"Arth, Chäppeli",Bus
10560,"Arth, Am See",Bus
10561,"Arth, Tafelstatt",Bus
10562,"Arth, Dorf",Bus
10563,"Oberarth, Rischi",Bus
10564,"Goldau, Bischofshusen",Bus
10565,"Goldau, Schützenhaus",Bus
10566,"Goldau, Neu-Röthen",Bus
10567,"Immensee, Sunnehof",Bus
10568,"Steinerberg, Chornacher",Bus
10569,"Steinerberg, Husmatt",Bus
10570,"Steinerberg, St. Anna",Bus
10571,"Steinerberg, Diezigen",Bus
10572,"Küssnacht am Rigi, Fänn Nord",Bus
10573,"Risch, Landhaus",Bus
10574,"Risch, Eichengrundweg",Bus
10575,"Rickenbach SZ, Post",Bus
10576,"Rickenbach SZ, Rotenfluebahn",Bus
10577,"Rickenbach SZ, Bol",Bus
10578,"Rickenbach SZ, Stalden",Bus
10579,"Rickenbach SZ, Aufiberg/Gruobi",Bus
10580,"Rickenbach SZ, Windstock",Bus
10581,"Schwyz, Lärchenweg/Kollegi",Bus
10582,"Schwyz, Dorfbach",Bus
10583,Meggen,Train
10584,"Schwyz, Obermatt",Bus
10585,"Schwyz, Salesheim",Bus
10586,"Schwyz, Riedbrücke",Bus
10587,"Schwyz, Mangelegg",Bus
10588,"Schwyz, Weidhuobli",Bus
10589,"Schwyz, Loostrasse",Bus
10590,"Ibach, Eichenweg",Bus
10591,Schindellegi-Feusisberg,Train
10592,Einsiedeln,Train
10593,Samstagern,Train
10594,Wollerau,Train
10595,Riedmatt SZ,Train
10596,"Ibach, Kieswerk",Bus
10597,"Ibach, Husmatt",Bus
10598,"Ibach, Abzw. Unterschönenbuch",Bus
10599,"Ibach, Oberschönenbuch",Bus
10600,"Ibach, Kapelle",Bus
10601,"Morschach, Luftseilbahn",Bus
10602,"Morschach, Schwyzerhöhe",Bus
10603,"Morschach, Wil",Bus
10604,Wilen bei Wollerau,Train
10605,"Rickenbach SZ, Chaisten",Bus
10606,"Rickenbach SZ, Meinradsrank",Bus
10607,"Rickenbach SZ, Lauenen",Bus
10608,"Rickenbach SZ, Handgruobi",Bus
10609,"Rickenbach SZ, Gründel/St Karl",Bus
10610,"Rickenbach SZ, Oberberg",Bus
10611,"Ibergeregg, Eseltritt",Bus
10612,"Ibergeregg, Riedmatt",Bus
10613,"Ibergeregg, Passhöhe",Bus
10614,"Ibergeregg, Alpstubli",Bus
10615,"Oberiberg, Wandli",Bus
10616,"Oberiberg, Laburg",Bus
10617,"Oberiberg, Tschalun",Bus
10618,"Hoch-Ybrig, Talst. Laucheren",Bus
10619,"Oberiberg, Neuseewen",Bus
10620,"Oberiberg, Oberjessenen",Bus
10621,"Unteriberg, Jessenenbrücke",Bus
10622,"Buttikon SZ, Oberstufenschule",Bus
10623,"Buttikon SZ, Dorfplatz",Bus
10624,"Reichenburg, Altersheim",Bus
10625,"Buttikon SZ, Mühlemoos",Bus
10626,"Tuggen, Mühlenen",Bus
10627,"Schübelbach, Gutenbrunnen",Bus
10628,"Tuggen, Rüteli",Bus
10629,"Schübelbach, Gramatt",Bus
10630,"Tuggen, Kesmalon",Bus
10631,"Tuggen, Schlüsselweg",Bus
10632,"Tuggen, Linthhof",Bus
10633,"Tuggen, Rüschenzopf",Bus
10634,"Tuggen, Post",Bus
10635,"Tuggen, Obstlager",Bus
10636,"Tuggen, Egg",Bus
10637,"Tuggen, Holeneich",Bus
10638,"Wangen SZ, Lochgasse",Bus
10639,"Wangen SZ, Zentrum",Bus
10640,"Wangen SZ, alte Post",Bus
10641,"Wangen SZ, Höfli",Bus
10642,"Siebnen-Wangen, Bahnhof",Bus
10643,"Wangen SZ, Löwenfeld",Bus
10644,"Siebnen, Zentralhof",Bus
10645,"Siebnen, Schulhaus",Bus
10646,"Siebnen, Aabrücke",Bus
10647,"Siebnen, Neudörfli",Bus
10648,"Siebnen, Mühle",Bus
10649,"Siebnen, Schorrenstrasse",Bus
10650,"Siebnen, Bettnau",Bus
10651,"Schübelbach, Oberhöfli",Bus
10652,"Schübelbach, West",Bus
10653,"Schübelbach, Dorf",Bus
10654,"Reichenburg, Bahnhof",Bus
10655,"Vorderthal, Gfell",Bus
10656,"Siebnen, Stegweg",Bus
10657,"Galgenen, Hornbach",Bus
10658,"Galgenen, Kirche",Bus
10659,"Galgenen, Diga",Bus
10660,"Lachen SZ, Spreite",Bus
10661,"Lachen SZ, Spital",Bus
10662,"Nuolen, Ochsenboden",Bus
10663,"Wangen SZ, Gätzibach",Bus
10664,"Nuolen, Kirche",Bus
10665,"Innerthal, Post",Bus
10666,"Innerthal, Staumauer",Bus
10667,"Vorderthal, Schweig",Bus
10668,"Vorderthal, Bächweidstrasse",Bus
10669,"Vorderthal, Post",Bus
10670,"Vorderthal, Schweizerhof",Bus
10671,"Vorderthal, Sonne",Bus
10672,"Vorderthal, Einschnitt",Bus
10673,"Vorderthal, Rempen",Bus
10674,"Vorderthal, Flühbödeli",Bus
10675,"Buonas, Schmidhof",Bus
10676,"Buonas, Neuhofstrasse",Bus
10677,"Risch, Dorf",Bus
10678,"Risch, Stotzenacker",Bus
10679,"Riemenstalden, Chäppeliberg",Bus
10680,"Riemenstalden, alte Post",Bus
10681,"Riemenstalden, Langrüti",Bus
10682,"Riemenstalden, Hüsern",Bus
10683,"Riemenstalden, Riedberg",Bus
10684,"Sisikon, Binzenegg",Bus
10685,"Sisikon, Bahnhof",Bus
10686,"Einsiedeln, Bahnhof",Bus
10687,"Einsiedeln, Brüel",Bus
10688,"Einsiedeln, Heidenbühl",Bus
10689,"Einsiedeln, Klosterplatz",Bus
10690,"Einsiedeln, Diorama",Bus
10691,"Einsiedeln, Altersheim",Bus
10692,"Einsiedeln, Friedhof",Bus
10693,"Einsiedeln, Grotzenmühlestr.",Bus
10694,"Einsiedeln, Steinauerstrasse",Bus
10695,"Horgenberg b. Einsied., Grütli",Bus
10696,"Einsiedeln, Wissmüli",Bus
10697,"Einsiedeln, Gerbe",Bus
10698,"Einsiedeln, Rüti-Säge",Bus
10699,"Einsiedeln, Birchli/Garage",Bus
10700,"Einsiedeln, Allmeindstrasse",Bus
10701,"Einsiedeln,Altersheim Langrüti",Bus
10702,"Einsiedeln, Spital",Bus
10703,"Horgenberg b. Einsied., Tanks.",Bus
10704,"Einsiedeln, Wasenmattstrasse",Bus
10705,"Einsiedeln, Horgenberg",Bus
10706,"Einsiedeln, Birchli/Sternen",Bus
10707,"Einsiedeln, Birchli/Stollern",Bus
10708,"Willerzell, Bodenmattli",Bus
10709,"Gross, Rombüel",Bus
10710,"Willerzell, Kirche",Bus
10711,"Willerzell, Grüene Aff",Bus
10712,"Gross, Nügüetli",Bus
10713,"Willerzell, Gasse",Bus
10714,"Willerzell, Dimmerbach",Bus
10715,"Willerzell, Tschuppmoos",Bus
10716,"Willerzell, Birchbühl",Bus
10717,"Willerzell, Langen",Bus
10718,"Willerzell, Mösli",Bus
10719,"Egg SZ, Langrüti",Bus
10720,"Egg SZ, Eintracht",Bus
10721,"Egg SZ, Schlapprig",Bus
10722,"Egg SZ, Post",Bus
10723,"Egg SZ, Roblosen",Bus
10724,"Einsiedeln, Badeanstalt",Bus
10725,"Einsiedeln, Blüemenen",Bus
10726,"Studen SZ, Dörfli",Bus
10727,"Studen SZ, Adelmatt",Bus
10728,"Euthal, Ängi",Bus
10729,"Studen SZ, Ochsenboden",Bus
10730,"Euthal, Höhport",Bus
10731,"Euthal, Schulhaus",Bus
10732,"Euthal, Rüti",Bus
10733,"Euthal, Drusberg",Bus
10734,"Unteriberg, vord.Schmalzgruben",Bus
10735,"Euthal, Ruostel",Bus
10736,"Euthal, Alte Festung",Bus
10737,"Willerzell, Schönbächli",Bus
10738,"Euthal, Steinbach",Bus
10739,"Willerzell, Stöfeli",Bus
10740,"Gross, Grossbach",Bus
10741,"Willerzell, Erlen",Bus
10742,"Brunni SZ, Talstation LBH",Bus
10743,"Brunni SZ, Rest. Brunni",Bus
10744,"Alpthal, Stei",Bus
10745,"Alpthal, Malosen",Bus
10746,"Alpthal, Rütli",Bus
10747,"Alpthal, Post",Bus
10748,"Alpthal, Schnüerlismatt",Bus
10749,"Alpthal, Grund",Bus
10750,"Alpthal, Gribsch",Bus
10751,"Alpthal, Eigen",Bus
10752,"Trachslau, alte Säge",Bus
10753,"Trachslau, Kirche",Bus
10754,"Trachslau, altes Schulhaus",Bus
10755,"Trachslau, alte Post",Bus
10756,"Einsiedeln, Wäni",Bus
10757,"Einsiedeln, Rütiweg",Bus
10758,"Einsiedeln, Kornhausstrasse",Bus
10759,"Gross, Ebenau",Bus
10760,"Unteriberg, hint.Schmalzgruben",Bus
10761,"Unteriberg, Nidlau",Bus
10762,"Unteriberg, Post",Bus
10763,"Unteriberg, Herti",Bus
10764,"Unteriberg, Waag",Bus
10765,"Unteriberg, Boden",Bus
10766,"Unteriberg, Twingi",Bus
10767,"Hoch-Ybrig, Talst. Weglosen",Bus
10768,"Oberdorf SO, Endhalt",Bus
10769,"Oberdorf SO, Dorfplatz",Bus
10770,"Lommiswil, Kirche",Bus
10771,"Oberdorf SO, Mühlebrücke",Bus
10772,"Bellach, Hubel",Bus
10773,"Lommiswil, Im Holz",Bus
10774,"Selzach, Schulhaus",Bus
10775,"Lommiswil, Bahnhofstrasse",Bus
10776,"Langendorf, Sunnerain",Bus
10777,"Langendorf, Chutz",Bus
10778,"Langendorf, Friedhof",Bus
10779,"Rüttenen, Brüggmoos",Bus
10780,"Solothurn, Roamer",Bus
10781,"Rüttenen, Dorf",Bus
10782,"Solothurn, Gibelinstrasse",Bus
10783,"Solothurn, Allmend",Bus
10784,"Solothurn, Casablanca",Bus
10785,"Derendingen, Löhr",Bus
10786,"Derendingen, Mühle",Bus
10787,"Derendingen, Linde",Bus
10788,"Kriegstetten, Subingenstrasse",Bus
10789,"Kriegstetten, Dorfplatz",Bus
10790,"Gerlafingen, Sonnenfeld",Bus
10791,"Gerlafingen, Fluryhof",Bus
10792,"Halten, Käserei",Bus
10793,"Oekingen, Horriwilstrasse",Bus
10794,"Recherswil, Dorf",Bus
10795,"Gerlafingen, Dorfzentrum",Bus
10796,"Obergerlafingen, Dorf",Bus
10797,"Halten, Ausserdorf",Bus
10798,"Horriwil, Post",Bus
10799,"Recherswil, Freiheit",Bus
10800,"Zielebach, Gemeindehaus",Bus
10801,"Wahlen b. Laufen, Traube",Bus
10802,"Wahlen b. Laufen, Oberdorf",Bus
10803,"Büsserach, Post",Bus
10804,"Breitenbach, TCS Rastplatz",Bus
10805,"Fehren, Postmuseum",Bus
10806,"Fehren, Steinenbühlhöhe",Bus
10807,"Meltingen, Meltingerbrücke",Bus
10808,"Zullwil, Gilgenberg",Bus
10809,"Meltingen, Gemeindezentrum",Bus
10810,"Zullwil, Dorf",Bus
10811,"Nunningen, Oberkirch",Bus
10812,"Nunningen, Post",Bus
10813,"Nunningen, See",Bus
10814,"Nunningen, Riseten",Bus
10815,"Nunningen, Engi",Bus
10816,"Nunningen, Mussliweg",Bus
10817,"Wahlen b. Laufen, Unterdorf",Bus
10818,"Büsserach, Alte Mühle",Bus
10819,"Grindel, Unterdorf",Bus
10820,"Kleinlützel, Huggerwald",Bus
10821,"Kleinlützel, Ring",Bus
10822,"Roggenburg, Neuhus",Bus
10823,"Büsserach, Ziegelhütte",Bus
10824,"Grindel, Oberdorf",Bus
10825,"Grindel, Mitte",Bus
10826,"Bärschwil, Oberdorf",Bus
10827,"Bärschwil, Dorf",Bus
10828,"Beinwil SO, Neuhüsli",Bus
10829,"Beinwil SO, Oberbeinwil",Bus
10830,"Beinwil SO, Oberbuchen",Bus
10831,"Beinwil SO, Schachen",Bus
10832,Passwang,Bus
10833,"Beinwil SO, Kloster",Bus
10834,"Beinwil SO, Reh",Bus
10835,"Beinwil SO, Bachmättli",Bus
10836,"Erschwil, Dorf",Bus
10837,"Erschwil, St. Benedikt",Bus
10838,"Balsthal, Bahnhof",Bus
10839,"Balsthal, Post",Bus
10840,"Balsthal, Zentrum",Bus
10841,"Balsthal, Thalbrücke",Bus
10842,"Laupersdorf, Höngen",Bus
10843,"Aedermannsdorf, Güggel",Bus
10844,"Laupersdorf, Dorf",Bus
10845,"Balsthal, Hinterrain",Bus
10846,"Balsthal, Brauerei",Bus
10847,"Balsthal, Pfadiheim",Bus
10848,"Klus, Bahnhof",Bus
10849,"Laupersdorf, Bremgarten",Bus
10850,"Matzendorf, Brunnersberg",Bus
10851,"Laupersdorf, Einschnitt",Bus
10852,"Matzendorf, Mühle",Bus
10853,"Matzendorf, Unterdorf",Bus
10854,"Balsthal, St. Wolfgang",Bus
10855,"Holderbank SO, Seblenhof",Bus
10856,"Mümliswil, Lobisei",Bus
10857,"Mümliswil, Kammfabrik",Bus
10858,"Mümliswil, Post",Bus
10859,"Mümliswil, Schulhaus",Bus
10860,"Ramiswil, Mühle",Bus
10861,"Ramiswil, Dorf",Bus
10862,"Ramiswil, Abzw. Scheltenstr.",Bus
10863,"Ramiswil, Kapelle",Bus
10864,"Oensingen, Bahnhof",Bus
10865,"Klus, Maiacker",Bus
10866,"Oensingen, Post",Bus
10867,"Oensingen, Rondo",Bus
10868,"Oensingen, Hirsacker",Bus
10869,"Oensingen, Schule Oberdorf",Bus
10870,"Oensingen, Bauamt",Bus
10871,"Oensingen, Sternenplatz",Bus
10872,"Oensingen, Lehnfeld",Bus
10873,"Laupersdorf, Vogelsmatt",Bus
10874,"Ramiswil, Alpenblick",Bus
10875,"Duggingen, Seewenstrasse",Bus
10876,"Grellingen, Bahnhof",Bus
10877,"Grellingen, Neutal",Bus
10878,"Himmelried, Waldeck",Bus
10879,"Himmelried, Dorf",Bus
10880,"Himmelried, vorderer Igraben",Bus
10881,"Himmelried, Schulhaus",Bus
10882,"Himmelried, Steffenplatz",Bus
10883,"Nunningen, Roderis",Bus
10884,"Himmelried, Kastelhöhe",Bus
10885,"Himmelried, Schindelboden",Bus
10886,"Himmelried, Kastel",Bus
10887,"Nunningen, Engimühle",Bus
10888,"Riedholz, Bei den Weihern",Bus
10889,"Riedholz, Bahnhof",Bus
10890,"Hubersdorf, Dietrich",Bus
10891,"Hubersdorf, Dorf",Bus
10892,"Hubersdorf, Siggern",Bus
10893,"Niederwil SO, Feuerwehrmagazin",Bus
10894,"Günsberg, Grüngli",Bus
10895,"Günsberg, Dorfplatz",Bus
10896,"Günsberg, Neue Balmbergstrasse",Bus
10897,"Günsberg, Bangerten",Bus
10898,"Günsberg, Glutzenberg",Bus
10899,"Balm b. Günsberg, Dorf",Bus
10900,"Günsberg, Längmatt",Bus
10901,"Oberbalmberg, Kurhaus",Bus
10902,"Balmberg, Mittler-Balmberg",Bus
10903,"Balmberg, Vorder-Balmberg",Bus
10904,"Oensingen, Roggen",Bus
10905,"Oensingen, Neu Bechburg",Bus
10906,"Oensingen, Schlossstrasse",Bus
10907,"Oensingen, Rebhöfli",Bus
10908,"Oensingen, Bubenrain",Bus
10909,"Oensingen, Katholische Kirche",Bus
10910,"Oensingen, Chutloch",Bus
10911,"Oberbuchsiten, Löwen",Bus
10912,"Oensingen, Gallihof",Bus
10913,"Oensingen, Bad Klus",Bus
10914,"Oensingen, Bifang",Bus
10915,"Wolfwil, Oberdorf",Bus
10916,"Wolfwil, Zentrum",Bus
10917,"Wolfwil, Schweissacker",Bus
10918,"Wolfwil, Schulhaus",Bus
10919,"Kestenholz, Rain",Bus
10920,"Wolfwil, Fulenbacherstrasse",Bus
10921,"Neuendorf, Schulhaus",Bus
10922,"Neuendorf, Hardeck",Bus
10923,"Fulenbach, Wolfwilerstrasse",Bus
10924,"Neuendorf, Kirche",Bus
10925,"Egerkingen, Bahnhof",Bus
10926,"Niederbuchsiten, Linde",Bus
10927,"Neuendorf, Migrosstrasse",Bus
10928,"Neuendorf, Unterdorf",Bus
10929,"Neuendorf, Migros",Bus
10930,"Neuendorf, Industrie",Bus
10931,"Egerkingen, Spirig",Bus
10932,"Egerkingen, Bifang",Bus
10933,"Härkingen, Lamm",Bus
10934,"Egerkingen, Gäupark Kreisel",Bus
10935,"Härkingen, Lischmatte",Bus
10936,"Egerkingen, Zentrum",Bus
10937,"Boningen, Kappelerstrasse",Bus
10938,"Boningen, Gsteigli",Bus
