,stop,type
335,"Turgi, Gehling",Bus
336,"Turgi, Bahnhof",Bus
337,"Zofingen, Bahnhof",Bus
338,"Zofingen, Bifangstrasse",Bus
339,"Zofingen, Spitalgasse",Bus
340,"Zofingen, Oberer Stadteingang",Bus
341,"Zofingen, Henzmannstrasse",Bus
342,"Zofingen, Spital",Bus
343,"Zofingen, Mühlethalstrasse",Bus
344,"Oftringen, Ruhbank",Bus
345,"Zofingen, Römerbad",Bus
346,"Zofingen, Heitereplatz",Bus
347,"Zofingen, Untere Brühlstrasse",Bus
348,"Zofingen, Falkeisenmatte",Bus
349,"Zofingen, Tagblatt",Bus
350,"Zofingen, Ackerstrasse",Bus
351,"Oftringen, Döbeligut",Bus
352,"Oftringen, Bühnenberg-Sonnmatt",Bus
353,"Küngoldingen, Post",Bus
354,"Oftringen, Gilam",Bus
355,"Oftringen, Schulhaus/Kirche",Bus
356,"Oftringen, Oberfeld",Bus
357,"Oftringen, Obristhof",Bus
358,"Oftringen, Neuquartier",Bus
359,"Oftringen, Kreuzplatz",Bus
360,"Oftringen,Kallernhag/Center A1",Bus
361,"Oftringen, Perry-Center",Bus
362,"Oftringen, Baslerstrasse",Bus
363,"Oftringen, Wirtshüsli",Bus
364,"Oftringen, alte Strasse",Bus
365,"Oftringen, Eggenscheide",Bus
366,"Aarburg-Oftringen, Bahnhof",Bus
367,"Aarburg, Städtli",Bus
368,"Rothrist, Bahnhof",Bus
369,"Aarburg, Stadtgarten",Bus
370,"Aarburg, Höhe",Bus
371,"Boningen, Ruppoldingen",Bus
372,"Aarburg, Alter Friedhof",Bus
373,"Rothrist, Grüebli",Bus
374,"Rothrist, Sennhof-Dörfli",Bus
375,"Rothrist, Breitenpark",Bus
376,"Zofingen, Altachen",Bus
377,"Zofingen, Schwimmbad",Bus
378,"Zofingen, Riedtalstrasse",Bus
379,"Zofingen, Eisengrube",Bus
380,"Brittnau, Abzw. Hard",Bus
381,"Wikon, Hotel Adelboden",Bus
382,"Zofingen, Haldenweg",Bus
383,"Brittnau, Lärchenweg",Bus
384,"Wikon, Kreuzung",Bus
385,"Zofingen, Bergli Friedhof",Bus
386,"Zofingen, Heitere Hirschpark",Bus
387,"Maisprach, Dorf",Bus
388,"Buus, Aufgend",Bus
389,"Maisprach, Hofmet",Bus
390,"Buus, Dorf",Bus
391,"Magden, Lanzenberg",Bus
392,"Magden, Post",Bus
393,"Magden, Schwimmbad",Bus
