,0,1
203,13.TA.20-2-B-j18-1.2.R,877
204,47.TA.20-2-B-j18-1.18.H,872
205,33.TA.5-3-j18-1.27.H,783
206,10.TA.79-5-E-j18-1.1.R,86124
207,22.TA.79-5-j18-1.2.H,86124
208,56.TA.6-51-A-j18-1.3.H,1623
209,4.TA.19-5-j18-1.1.R,1506
210,4.TA.20-2-B-j18-1.2.R,865
211,8.TA.20-2-B-j18-1.3.R,869
212,54.TA.20-2-B-j18-1.19.H,880
213,60.TA.20-2-B-j18-1.20.H,884
214,10.TA.20-21-j18-1.2.R,679
215,30.TA.5-3-j18-1.24.H,783
216,12.TA.57-7-Y-j18-1.2.H,9789
217,7.TA.57-7-Y-j18-1.2.H,9773
218,7.TA.72-4-Y-j18-1.3.H,96568
219,13.TA.72-4-Y-j18-1.5.H,96646
220,7.TA.5-3-j18-1.5.R,764
221,55.TA.6-17-j18-1.25.R,2385
222,8.TA.5-3-j18-1.4.R,764
223,56.TA.6-17-j18-1.18.R,2385
224,2.TA.66-340-j18-1.15.H,6409
225,28.TA.66-340-j18-1.17.H,6431
226,37.TA.66-340-j18-1.18.H,6407
227,1.TA.66-65-Y-j18-1.1.H,815
228,5.TA.69-13-Y-j18-1.5.H,13653
229,4.TA.69-13-Y-j18-1.4.H,13653
230,1.TA.66-152-Y-j18-1.1.H,7
231,4.TA.66-152-Y-j18-1.1.H,19
232,5.TA.66-152-Y-j18-1.1.H,23
233,7.TA.66-152-Y-j18-1.1.H,45
234,8.TA.66-152-Y-j18-1.1.H,59
235,6.TA.66-152-Y-j18-1.1.H,33
236,4.TA.66-153-Y-j18-1.2.H,16
237,5.TA.66-153-Y-j18-1.2.H,22
238,6.TA.66-153-Y-j18-1.2.H,30
239,7.TA.66-153-Y-j18-1.2.H,40
240,8.TA.66-153-Y-j18-1.2.H,54
241,9.TA.66-153-Y-j18-1.2.H,62
242,1.TA.66-166-Y-j18-1.1.H,111
243,2.TA.66-166-Y-j18-1.1.H,127
244,3.TA.66-166-Y-j18-1.1.H,143
245,4.TA.66-166-Y-j18-1.1.H,149
246,5.TA.66-166-Y-j18-1.1.H,157
247,1.TA.76-13-Y-j18-1.1.H,29
248,2.TA.76-13-Y-j18-1.1.H,39
249,1.TA.76-15-Y-j18-1.1.H,26
250,2.TA.76-15-Y-j18-1.1.H,34
251,3.TA.66-152-Y-j18-1.1.H,13
252,3.TA.66-153-Y-j18-1.2.H,10
253,3.TA.76-13-Y-j18-1.1.H,53
254,3.TA.76-15-Y-j18-1.1.H,48
255,1.TA.66-151-Y-j18-1.1.H,1733
256,1.TA.66-153-Y-j18-1.1.H,1730
257,1.TA.76-12-Y-j18-1.1.H,1731
258,4.TA.76-13-Y-j18-1.1.H,53
259,1.TA.76-14-Y-j18-1.1.H,1728
260,4.TA.76-15-Y-j18-1.1.H,48
261,10.TA.66-162-Y-j18-1.2.H,71
262,11.TA.66-162-Y-j18-1.2.H,73
263,12.TA.66-162-Y-j18-1.2.H,75
264,13.TA.66-162-Y-j18-1.2.H,77
265,10.TA.66-163-Y-j18-1.2.H,72
266,11.TA.66-163-Y-j18-1.2.H,74
267,12.TA.66-163-Y-j18-1.2.H,76
268,13.TA.66-163-Y-j18-1.2.H,78
269,1.TA.66-162-Y-j18-1.1.H,1
270,1.TA.66-163-Y-j18-1.1.H,2
271,8.TA.66-101-Y-j18-1.1.H,223
272,10.TA.66-101-Y-j18-1.1.H,271
273,8.TA.66-102-Y-j18-1.1.H,228
274,10.TA.66-102-Y-j18-1.1.H,276
275,9.TA.66-101-Y-j18-1.1.H,231
276,9.TA.66-102-Y-j18-1.2.H,254
277,18.TA.6-6-B-j18-1.17.H,1087
278,133.TA.23-90-j18-1.79.R,1737
279,73.TA.66-71-Y-j18-1.1.H,11086
280,77.TA.66-71-Y-j18-1.5.H,11090
281,81.TA.66-71-Y-j18-1.5.H,11094
282,42.TA.66-80-Y-j18-1.1.H,11089
283,142.TA.66-340-j18-1.7.H,6603
284,153.TA.66-340-j18-1.7.H,6669
285,155.TA.66-340-j18-1.7.H,6671
286,165.TA.66-340-j18-1.8.R,6652
287,176.TA.66-340-j18-1.8.R,6672
288,178.TA.66-340-j18-1.8.R,6674
289,256.TA.66-340-j18-1.11.R,6408
290,250.TA.66-340-j18-1.22.R,6436
291,1.TA.66-117-Y-j18-1.1.H,9902
292,11.TA.66-117-Y-j18-1.1.H,9908
293,17.TA.66-117-Y-j18-1.1.H,9912
294,27.TA.66-117-Y-j18-1.1.H,9920
295,33.TA.66-117-Y-j18-1.1.H,9924
296,39.TA.66-117-Y-j18-1.1.H,9928
297,53.TA.66-117-Y-j18-1.1.H,9940
298,58.TA.66-117-Y-j18-1.1.H,9944
299,62.TA.66-117-Y-j18-1.1.H,9948
300,67.TA.66-117-Y-j18-1.1.H,9952
301,17.TA.66-118-Y-j18-1.1.H,9909
302,23.TA.66-118-Y-j18-1.1.H,9913
303,33.TA.66-118-Y-j18-1.1.H,9921
304,39.TA.66-118-Y-j18-1.1.H,9925
305,45.TA.66-118-Y-j18-1.1.H,9929
306,59.TA.66-118-Y-j18-1.1.H,9941
307,64.TA.66-118-Y-j18-1.1.H,9945
308,68.TA.66-118-Y-j18-1.1.H,9949
309,73.TA.66-118-Y-j18-1.1.H,9953
310,54.TA.11-3-B-j18-1.38.R,919
311,5.TA.80-35-Y-j18-1.4.H,1339
312,28.TA.20-2-B-j18-1.9.H,866
313,76.TA.20-2-B-j18-1.27.H,890
314,57.TA.59-470-j18-1.6.R,2934
315,20.TA.66-159-Y-j18-1.1.H,576
316,21.TA.66-159-Y-j18-1.1.H,578
317,44.TA.66-113-Y-j18-1.1.H,376
318,46.TA.66-113-Y-j18-1.1.H,378
319,43.TA.66-115-Y-j18-1.1.H,381
320,45.TA.66-115-Y-j18-1.1.H,383
321,27.TA.66-132-Y-j18-1.1.H,476
322,28.TA.66-132-Y-j18-1.1.H,478
323,27.TA.66-133-Y-j18-1.1.H,481
324,29.TA.66-133-Y-j18-1.1.H,483
325,31.TA.66-133-Y-j18-1.2.H,487
326,32.TA.66-133-Y-j18-1.2.H,489
327,20.TA.66-144-Y-j18-1.1.H,575
328,21.TA.66-144-Y-j18-1.1.H,577
329,1.TA.66-146-Y-j18-1.1.H,632
330,3.TA.66-146-Y-j18-1.1.H,638
331,4.TA.66-146-Y-j18-1.1.H,640
332,5.TA.66-146-Y-j18-1.1.H,642
333,6.TA.66-146-Y-j18-1.1.H,646
334,7.TA.66-146-Y-j18-1.1.H,648
335,8.TA.66-146-Y-j18-1.1.H,650
336,9.TA.66-146-Y-j18-1.1.H,654
337,10.TA.66-146-Y-j18-1.1.H,656
338,11.TA.66-146-Y-j18-1.1.H,658
339,12.TA.66-146-Y-j18-1.1.H,662
340,13.TA.66-146-Y-j18-1.1.H,664
341,14.TA.66-146-Y-j18-1.1.H,666
342,15.TA.66-146-Y-j18-1.1.H,670
343,1.TA.66-147-Y-j18-1.1.H,639
344,3.TA.66-147-Y-j18-1.1.H,643
345,4.TA.66-147-Y-j18-1.1.H,647
346,5.TA.66-147-Y-j18-1.1.H,649
347,6.TA.66-147-Y-j18-1.1.H,651
348,7.TA.66-147-Y-j18-1.1.H,655
349,8.TA.66-147-Y-j18-1.1.H,657
350,9.TA.66-147-Y-j18-1.1.H,659
351,10.TA.66-147-Y-j18-1.1.H,663
352,11.TA.66-147-Y-j18-1.1.H,665
353,12.TA.66-147-Y-j18-1.1.H,667
354,13.TA.66-147-Y-j18-1.1.H,671
355,14.TA.66-147-Y-j18-1.1.H,673
356,15.TA.66-147-Y-j18-1.1.H,675
357,29.TA.66-160-Y-j18-1.1.H,3747
358,30.TA.66-160-Y-j18-1.1.H,3749
359,31.TA.66-160-Y-j18-1.1.H,3751
360,32.TA.66-160-Y-j18-1.1.H,3753
361,33.TA.66-160-Y-j18-1.1.H,3755
362,34.TA.66-160-Y-j18-1.1.H,3757
363,35.TA.66-160-Y-j18-1.1.H,3759
364,36.TA.66-160-Y-j18-1.1.H,3767
365,37.TA.66-160-Y-j18-1.1.H,3769
366,38.TA.66-160-Y-j18-1.1.H,3771
367,39.TA.66-160-Y-j18-1.1.H,3773
368,40.TA.66-160-Y-j18-1.1.H,3775
369,41.TA.66-160-Y-j18-1.1.H,3777
370,42.TA.66-160-Y-j18-1.1.H,3791
371,28.TA.66-161-Y-j18-1.1.H,3738
372,29.TA.66-161-Y-j18-1.1.H,3740
373,30.TA.66-161-Y-j18-1.1.H,3742
374,31.TA.66-161-Y-j18-1.1.H,3744
375,32.TA.66-161-Y-j18-1.1.H,3746
376,33.TA.66-161-Y-j18-1.1.H,3748
377,34.TA.66-161-Y-j18-1.1.H,3756
378,35.TA.66-161-Y-j18-1.1.H,3758
379,36.TA.66-161-Y-j18-1.1.H,3760
380,37.TA.66-161-Y-j18-1.1.H,3762
381,38.TA.66-161-Y-j18-1.1.H,3764
382,39.TA.66-161-Y-j18-1.1.H,3766
