,0
827,8572570
828,8581308
829,8572643
830,8572644
831,8580840
832,8502568
833,8572645
834,8578766
835,8578767
836,8502265
837,8578768
838,8578769
839,8587864
840,8587767
841,8578771
842,8587552
843,8578772
844,8578773
845,8589511
846,8587560
847,8587553
848,8587554
849,8587555
850,8587556
851,8578770
852,8572621
853,8580303
854,8572622
855,8572623
856,8580889
857,8572624
858,8572625
859,8502711
860,8502710
861,8502709
862,8572626
863,8502708
864,8583760
865,8580270
866,8572634
867,8572633
868,8572632
869,8502670
870,8572630
871,8572629
872,8580305
873,8579278
874,8580308
875,8580306
876,8572628
877,8580372
878,8580843
879,8572631
880,8502564
881,8572642
882,8581658
883,8581831
884,8581830
885,8572641
886,8581670
887,8583558
888,8572640
889,8572639
890,8502562
891,8502563
892,8581563
893,8583685
894,8582256
895,8572635
896,8572637
897,8502877
898,8572636
899,8502573
900,8502576
901,8572638
902,8502569
903,8581623
904,8502752
905,8572612
906,8572611
907,8572613
908,8502689
909,8572616
910,8572617
911,8572618
912,8580307
913,8572619
914,8580377
915,8581624
916,8583401
917,8582731
918,8582732
919,8590226
920,8590225
921,8582728
922,8583074
923,8572615
924,8502688
925,8580725
926,8582730
927,8582729
928,8580341
929,8572614
930,8577128
931,8577127
932,8590266
933,8577125
934,8590267
935,8577108
936,8577106
937,8589530
938,8590237
939,8577122
940,8587714
941,8577107
942,8593466
943,8587786
944,8587785
945,8587784
946,8577132
947,8577133
948,8577134
949,8577135
950,8577136
951,8587783
952,8587695
953,8589231
954,8587787
955,8587788
956,8577594
957,8577138
958,8577139
959,8577140
960,8577141
961,8577142
962,8577143
963,8572599
964,8502560
965,8580317
966,8572598
967,8581346
968,8502894
969,8572597
970,8502979
971,8572596
972,8572595
973,8503579
974,8503578
975,8583613
976,8572550:0:B
977,8572582
978,8503799
979,8557043
980,8503588
981,8580639
982,8503585
983,8572583
984,8503586
985,8572585
986,8503582
987,8572588
988,8503880
989,8578903
990,8503581
991,8572587
992,8502895
993,8503589
994,8572586
995,8503583
996,8572500
997,8503584
998,8503575
999,8572589
1000,8582528
1001,8572503
1002,8572550:0:A
1003,8572584
1004,8503596
1005,8581639
1006,8572594
1007,8581072
1008,8503883
1009,8503882
1010,8503884
1011,8572593
1012,8580842
1013,8572592
1014,8572591
1015,8503687
1016,8572550:0:C
1017,8572495
1018,8503593
1019,8572496
1020,8572497
1021,8503587
1022,8503592
1023,8503599
1024,8579862
1025,8503877
1026,8572579
1027,8572524
1028,8580326
1029,8580164
1030,8572502
1031,8578779
1032,8578780
1033,8578781
1034,8583559
1035,8578783
1036,8578784
1037,8578785
1038,8578786
1039,8578787
1040,8578788
1041,8503000:0:13
1042,8500010:0:11
1043,8500010:0:8
1044,8500010:0:7
1045,8500010:0:12
1046,8503000:0:11
1047,8500010
1048,8500309:0:1
1049,8500010:0:5
1050,8572483
1051,8503574
1052,8572484
1053,8572485
1054,8572486
1055,8500555
1056,8581570
1057,8581907
1058,8572498
1059,8583661
1060,8583893
1061,8503594
1062,8576763
1063,8572501
1064,8581294
1065,8500577
1066,8500578
1067,8580328
1068,8500576
1069,8581749
1070,8572522
1071,8572523
1072,8503881
1073,8581719
1074,8581730
1075,8580730
1076,8572515
1077,8572514
1078,8502775
1079,8572513
1080,8572512
1081,8572516
1082,8500683
1083,8572517
1084,8502874
1085,8572518
1086,8572519
1087,8572520
1088,8572521
1089,8502966
1090,8502952
1091,8502969
1092,8502951
1093,8572510
1094,8502705
1095,8500787
1096,8500788
1097,8572504
1098,8502871
1099,8572505
1100,8582072
1101,8502967
