,0,1
222,2-121-j18-1,Bus
223,6-121-A-j18-1,Bus
224,6-121-j18-1,Bus
225,8-121-j18-1,Bus
226,79-121-j18-1,Bus
227,66-121-Y-j18-1,Regionalzug
228,80-121-Y-j18-1,RegioExpress
229,6-122-j18-1,Bus
230,8-122-j18-1,Bus
231,66-122-Y-j18-1,Regionalzug
232,80-122-Y-j18-1,RegioExpress
233,6-123-A-j18-1,Bus
234,6-123-j18-1,Bus
235,8-123-j18-1,Bus
236,20-123-j18-1,Bus
237,66-123-Y-j18-1,Regionalzug
238,80-123-Y-j18-1,RegioExpress
239,6-124-j18-1,Bus
240,8-124-j18-1,Bus
241,19-124-j18-1,Bus
242,20-124-j18-1,Bus
243,66-124-Y-j18-1,Regionalzug
244,80-124-Y-j18-1,RegioExpress
245,8-125-j18-1,Bus
246,19-125-j18-1,Bus
247,20-125-j18-1,Bus
248,66-125-Y-j18-1,Regionalzug
249,80-125-Y-j18-1,RegioExpress
250,6-126-j18-1,Bus
251,19-126-j18-1,Bus
252,66-126-Y-j18-1,Regionalzug
253,80-126-Y-j18-1,RegioExpress
254,6-127-j18-1,Bus
255,8-127-j18-1,Bus
256,19-127-j18-1,Bus
257,66-127-Y-j18-1,Regionalzug
258,80-127-Y-j18-1,RegioExpress
259,6-128-j18-1,Bus
260,66-128-Y-j18-1,Regionalzug
261,80-128-Y-j18-1,RegioExpress
262,8-129-j18-1,Bus
263,19-129-j18-1,Bus
264,66-129-Y-j18-1,Regionalzug
265,80-129-Y-j18-1,RegioExpress
266,27-12E-j18-1,Bus
267,30-12-Y-j18-1,Bus
268,40-12-Y-j18-1,Eurocity
269,42-12-Y-j18-1,Intercity
270,59-12-Y-j18-1,InterRegio
271,66-12-Y-j18-1,Regionalzug
272,68-12-Y-j18-1,S-Bahn
273,69-12-Y-j18-1,S-Bahn
274,76-12-Y-j18-1,Schnellzug
275,78-12-Y-j18-1,RegioExpress
276,79-12-Y-j18-1,RegioExpress
277,80-12-Y-j18-1,RegioExpress
278,1-13-j18-1,Bus
279,7-13-j18-1,Bus
280,11-13-A-j18-1,Bus
281,11-13-j18-1,Bus
282,25-13-j18-1,Bus
283,26-13-j18-1,S-Bahn
284,27-13-j18-1,Bus
285,79-13-j18-1,Bus
286,6-130-j18-1,Bus
287,8-130-j18-1,Bus
288,24-130-j18-1,Bus
289,66-130-j18-1,Regionalzug
290,66-130-Y-j18-1,Regionalzug
291,80-130-Y-j18-1,RegioExpress
292,6-131-j18-1,Bus
293,8-131-j18-1,Bus
294,19-131-j18-1,Bus
295,20-131-j18-1,Bus
296,24-131-j18-1,Bus
297,66-131-Y-j18-1,Regionalzug
298,80-131-Y-j18-1,RegioExpress
299,6-132-j18-1,Bus
300,8-132-j18-1,Bus
301,13-132-j18-1,Bus
302,16-132-j18-1,Bus
303,20-132-j18-1,Bus
304,79-132-j18-1,Bus
305,66-132-Y-j18-1,Regionalzug
306,80-132-Y-j18-1,RegioExpress
307,6-133-j18-1,Bus
308,7-133-j18-1,Bus
309,13-133-j18-1,Bus
310,16-133-j18-1,Bus
311,20-133-j18-1,Bus
312,66-133-Y-j18-1,Regionalzug
313,80-133-Y-j18-1,RegioExpress
314,1-134-j18-1,Bus
315,7-134-j18-1,Bus
316,20-134-j18-1,Bus
317,66-134-Y-j18-1,Regionalzug
318,80-134-Y-j18-1,RegioExpress
319,1-135-j18-1,Bus
320,20-135-j18-1,Bus
321,79-135-j18-1,Bus
322,20-135-A-j18-1,Bus
323,66-135-Y-j18-1,Regionalzug
324,80-135-Y-j18-1,RegioExpress
325,1-136-j18-1,Bus
326,20-136-j18-1,Bus
